Text	Theme
"SALES1 KPI£16,637M£18,180m (2013)ORDER BACKLOG1,4£40.5BN£42.7bn (2013)OPERATING BUSINESS CASH FLOW6 KPI£1,191M£147m (2013) UNDERLYING EBITA2 KPI£1,702M£1,925m (2013)OPERATING PROFIT£1,300M£806m (2013)NET DEBT (AS DEFINED BY THE GROUP)7  KPI£(1,032)M£(699)m (2013) UNDERLYING EARNINGS3 PER SHARE  KPI38.0P42.0p (2013)BASIC EARNINGS PER SHARE523.4P5.2p (2013)DIVIDEND PER SHARE20.5P20.1p (2013"	Financial
"Sales1 were £16.6bn. The year-on-year reduction of £1.5bn reected £0.6bn of adverse exchange rate translation, the expected volume reductions in Land & Armaments and the previous year’s benet from the one-off price settlement for Salam Typhoon."	Financial
"Underlying EBITA2 was £1,702m. The year-on-year position was broadly unchanged after allowing for exchange rate translation and the one-off 2013 price settlement."	Financial
Margin performance delivered a return on sales of 10.2%.	Financial
Underlying earnings3 per share increased from 37.6p to 38.0p after excluding the benet from the price escalation settlement in 2013.	Financial
"£925m returned to shareholders in 2014, from share repurchase programme and dividends."	Unclassified
	
Major milestone achieved with naming and oat-up of HMS Queen Elizabeth aircraft carrier. Over £1bn of Royal Navy contracts awarded	Social_Relationship
"Further development of the Typhoon aircraft platform, including European partner nation commitment to the full integration of the Captor E-Scan radar and work on enhancing the aircraft’s capability"	Intellectual
Contract awards received for the Armored Multi-Purpose Vehicle and on other land programmes in support of the US combat vehicle industrial base	Social_Relationship
"BAE Systems selected to provide the integrated ight control electronics and other systems for next-generation Boeing 777X aircraft, building on positions across multiple major commercial aircraft platforms"	Intellectual
"Successful acquisition of SilverSky, to enhance the Group’s commercial cyber growth strategy, and of Signal Innovations Group, to strengthen the Group’s activity-based intelligence capabilities"	Intellectual
"Further streamlining of the US-managed business to improve competitiveness, including a sector reorganisation, reduced administrative overhead and agreed sale of the Group’s 75% interest in Land Systems South Africa"	Intellectual
Reorganisation of industrial partner companies in the Kingdom of Saudi Arabia to support their future growth	Social_Relationship
"Applied Intelligence, the Group’s UK-headquartered cyber security business, delivered organic sales growth of 10% and increased its order book by a further 37%, following the 60% increase achieved in 2013"	Intellectual
	
"In 2015, the Group’s underlying earnings1 per share are expected to be marginally higher than in 2014, including some reliance on anticipated naval and aircraft orders"	Financial
b	Intellectual
"Sales2 (in US$) are expected to be similar to 2014, with growth from commercial business offsetting small reductions in defence."	Financial
Margins are expected to be at the top end of a 12% to 14% guidance range.	Financial
Mid-single digit sales2 growth expected in 2015; with strong sales growth planned of around 30% in Applied Intelligence offsetting marginally lower sales in Intelligence & Security	Financial
"Margins anticipated within an 8% to 10% range, but at the lower end after integration costs of SilverSky and continued investment in the Applied Intelligence business."	Financial
"Sales2 are expected to reduce by around 10%, or 8% like-for-like excluding the disposal of the South African land business"	Financial
"Margins are expected to be in a 6% to 8% range, reecting continued margin dilution from sales trading on the Radford and commercial shipbuilding contracts"	Financial
Sales2 are expected to increase by approximately 5% with higher sales from Salam Typhoon deliveries and the Astute and Successor submarine programmes more than offsetting reduced trading on the Queen Elizabeth Class carrier programme.	Financial
"Margins expected to be at the lower end of a 10% to 12% range, reecting the impact of increased UK pension service costs due to the lower discount rate"	Financial
"Sales2 in 2015 are expected to be approximately 10% higher than in 2014, including increased levels of support to the Salam Typhoon aircraft now in service and from higher volumes of weapon systems."	Financial
Margins are expected to be similar to 2014	Financial
HQ costs are expected to be a little higher than those in 2014. Underlying nance costs are expected to be similar to 2014. The effective tax rate is expected to be around 20% with some dependency on the geographic mix of prots.	Financial
	
"My rst year as Chairman of the Company has been both stimulating and engaging. I have visited our businesses throughout the United Kingdom, the United States of America, the Kingdom of Saudi Arabia and Australia."	Unclassified
"Without exception, I have been impressed by the remarkable skills of our people, reassured by our commitment to good corporate governance and proud of our determination to serve, supply and protect those that serve and protect us across the world."	Social_Relationship
"The capabilities and pride of our people in what we do was particularly evident at the naming ceremony in Scotland of the HMS Queen Elizabeth aircraft carrier in July, and at the prize-giving ceremony for the Chairman’s Awards in Washington, D.C., in December."	Human
"The executive team has continued to demonstrate their professionalism by effectively managing cost in a challenging business environment, and delivering underlying growth in earnings per share after adjusting for the one-off, retrospective benet from the Saudi Arabian price agreement in 2013"	Financial
"Group cash ow has continued to permit the buyback of shares, the support of our pension obligations and the recommendation of a nal dividend of 12.3p per share, making a total of 20.5p per share for the year"	Unclassified
The growing uncertainty and political instability in many parts of the world have undoubtedly increased many governments’ focus on defence and helped to stabilise budgets.	Unclassified
"The message delivered by President Obama and Prime Minister Cameron at the NATO Summit in Wales, UK, calling for members to allocate 2% of Gross Domestic Product to their defence budgets, reected the change in tone and sentiment, and reinforced the importance of a thriving and innovative defence industry in the UK, US and with other allies overseas."	Unclassified
"Throughout the year, the Company continued to enjoy a privileged position as a strategic supplier to the UK, US, Kingdom of Saudi Arabia and Australia."	Social_Relationship
"We have earned these positions over time through a mix of product excellence, service ethic and a commitment to working with each host nation to build local capability."	Social_Relationship
"This approach was particularly visible this year in the Kingdom of Saudi Arabia, where we announced a reorganisation of our industrial interests which will enhance our local relationships and will provide high-quality employment for young people in the years to come."	Social_Relationship
"In the second quarter of the year, the Board initiated a comprehensive review of all our businesses in order to deepen our understanding of current activity and establish a platform for longer-term strategic planning."	Unclassified
	
"The review conrmed the importance of maintaining the breadth of our geographic balance, continued investment in the development of our wide product offering and the value of the service relationships we enjoy with the armed forces of the countries in which we operate."	Social_Relationship
"We will manage the Group’s business portfolio to address changes in markets and emerging opportunities. Whilst still a relatively small segment of the Group, prospects for growth in our Applied Intelligence business, which capitalises on our deep intelligence roots and benets from our wide commercial reach, are encouraging."	Intellectual
"In electronics, the leading-edge capability we have in military areas was considered to offer material opportunities for further penetration of the civil aircraft and adjacent commercial markets"	Intellectual
"The review also encompassed our commitment to apprenticeships, lifetime learning and bench-strength development to ensure we continue to attract and retain the nest engineering talent available in the marketplace."	Human
"Looking back, it has been a year of steady progress and achievement. We now look to 2015 with condence based on the existing programmes in which we are engaged and the depth of order backlog we have secured."	Unclassified
"With some reliance on anticipated naval and aircraft orders, there is, however, no room for complacency in a world where competitive pressures are increasing, customer demands for service and value unrelenting, and government nances constrained. We will respond to these challenges with energy, enthusiasm and vigour, recognising that we cannot rely on past achievement for future success"	Social_Relationship
"Picking up the pace, valuing the customer, driving down costs and preserving quality will be the watchwords of the business model and the hallmarks of our performance"	Social_Relationship
I succeeded Sir Richard Olver as Chairman of the Board on 1 February 2014 and Sir Richard stepped down from the Board on that date.	Unclassified
"On 1 February 2014, Linda Hudson retired as President and Chief Executive Ofcer of BAE Systems, Inc. and as an executive director of BAE Systems plc. Linda made a material contribution to both the development of our US operations and its important role within the Group. On the same date, Jerry DeMuro was appointed as President and Chief Executive Ofcer of BAE Systems, Inc. and as an executive director of BAE Systems plc."	Unclassified
"Paul Anderson, a non-executive director, retired from the Board on 31 December 2014 after six years of service. Throughout the two terms of his appointment, Paul made a major contribution to the strategic thinking of the Company in addition to chairing the Corporate Responsibility Committee."	Unclassified
"On behalf of colleagues and shareholders, I thank both Linda and Paul for all they have done for the Company and wish them well for the future."	Unclassified
Ian Tyler has now taken over the role of chairman of the Corporate Responsibility Committee.	Unclassified
"During the course of the year, the Nominations Committee commenced a long-term succession planning review and agreed that our immediate priority was to search for a replacement for Paul who would have a general management background, international experience, be capable of assuming responsibility for the Remuneration Committee and improve the diversity of the Board. The search is now in process"	Human
"The Board has recommended a nal dividend of 12.3p per share making a total of 20.5p per share for the year, an increase of 2% over 2013"	Unclassified
"Subject to shareholder approval at the 2015 Annual General Meeting, the dividend will be paid on 1 June 2015 to holders of ordinary shares registered on 17 April 2015."	Unclassified
	
"We compete within a peer group of large, multi-national defence and aerospace prime contractors"	Unclassified
BAE Systems is the third largest global defence supplier (based on 2013 revenue).	Unclassified
"We are active in all of the top ten accessible global defence markets, with established leading positions in the US, UK, Saudi Arabia and Australia."	Social_Relationship
	
"We have strong, established positions supplying equipment and services, including advanced electronics, for air, naval and land forces, and commercial aerospace customers."	Social_Relationship
"We have a diverse portfolio, broadly balanced between long-term platforms programmes, electronic systems, an enduring services and support business, and activities in cyber security."	Social_Relationship
	
"Growing commercial aerospace position in engine and ight controls, cabin and cockpit systems, and aftermarket support services"	Intellectual
Development of next-generation Unmanned Air Systems	Intellectual
Sole provider of design and manufacture of submarines for the Royal Navy	Intellectual
"Major provider of warship repair and modernisation services for the US, UK and Australian navies, and provider of commercial shipbuilding in the US"	Social_Relationship
"Major supplier of large calibre naval gun systems to the US, UK and other international navie"	Social_Relationship
	
"Leading supplier of cyber, intelligence and security capabilities  to government agencies"	Social_Relationship
	
Our mission is to safeguard and enhance our customers’ vital interestsand deliver sustainable growth in shareholder value	Social_Relationship
Our strategy– Maintain and grow our defence businesses– Continue to grow our business in adjacent markets– Develop and expand our international business– Inspire and develop our people to drive success	Social_Relationship
Continuouslyimproveefciency andcompetitiveness  Continue to drive value fromour defenceplatforms andservices	Social_Relationship
"Acceleratethe growth ofour cyber,intelligenceand securitybusines"	Intellectual
Continueto win newinternationalorders	Social_Relationship
Continue to grow ourelectronicsystemsbusines	Intellectual
Leverage ourtechnology andengineeringcapabilities	Intellectual
	
"Our strategy has guided us through challenging market conditions in recent years. Government spending is still under pressure in the US and UK, our largest markets, and competition is increasing around the world. We have responded by focusing on meeting our commitments to customers and on improving efciency, affordability and nancial performance."	Social_Relationship
We have also continued to invest in our business and people and to develop the technology and skills we need to drive the business forward.	Intellectual
"The operating environment is still challenging, but we have positive momentum and a strong foundation to build on. Our strategy has evolved in a number of areas, to provide a clear focus for our stakeholders."	Unclassified
"Our vision is to be the premier international defence, aerospace and security company – a change from ‘global’ to recognise that, as a defence contractor, not all markets are accessible to the Group."	Intellectual
Our mission has been updated to recognise the important role we play in protecting and enhancing our customers’ vital interests	Social_Relationship
i	Social_Relationship
"We also continue to pursue growth in adjacent markets, including cyber security and commercial avionics. We are a trusted partner to the governments of a number of countries around the world and we continue to expand our international business"	Social_Relationship
