Text	Theme
Welcome to our Annual Report for 2014. Your Company continued to perform extremely well last year despite difficult conditions in many of its markets.	Unclassified
"Reported adjusted diluted earnings were 208.1p per share, a decline of 3.9% on 2013 that was driven entirely by significant currency fluctuations which also impacted our other reported results."	Financial
"On a constant currency basis, the Group delivered adjusted diluted earnings growth of 7.9% to 233.7p per share and grew overall market share,"	Financial
driven by an excellent performance by the Global Drive Brands.	Unclassified
"Revenue£13,971m"	Financial
"Revenue at constant  exchange rates1£15,682m"	Financial
"Adjusted profit from operations2 at constant exchange rates1£6,075m"	Financial
"Profit from operations£4,546m"	Financial
Adjusted diluted  earnings per share2208.1p	Financial
Basic earnings per share  167.1p	Financial
Adjusted diluted earnings per share2 at constant rates of exchange1233.7p	Financial
Total dividends per share  148.1p	Unclassified
I am delighted to welcome three new Non-Executive Directors who joined our Board in February 2015.	Unclassified
Sue Farr has had a distinguished career in communications and marketing with organisations such as the BBC and Vauxhall Motors; Pedro Malan is a former Finance Minister of Brazil and an expert in macro-economic policy; and Dimitri Panayotopoulos brings considerable consumer sector experience from his successful career at Procter & Gamble.	Human
"They will further strengthen the Board and our Group with their extensive marketing, business and geopolitical skills, while also enhancing the diversity of the people and experience on our Board."	Human
"My thanks are due to everyone at British American Tobacco, especially my Board colleagues, our Chief Executive and all the members of his management team, for their dedication and efforts to deliver these excellent results in a testing and difficult year."	Unclassified
Sustainability is one of the key pillars of our strategy. Our commitment to delivering long-term value to our shareholders and ensuring a sustainable future for the Group underpins many of our business activities.	Unclassified
"These include developing less risky tobacco and nicotine products like e-cigarettes and tobacco heating products, supporting farmers’ livelihoods and tackling illicit trade."	Social_Relationship
"Founded in 1902, the Group was first listed in 1912 and today we are one of the top 10 companies on the London Stock Exchange. We also have a secondary listing on the Johannesburg Stock Exchange"	Unclassified
We are a global company with more than 200 brands sold in over 200 markets. We make the cigarettes chosen by around one in eight of the world’s one billion adult smokers and we are market leaders in more than 60 countries	Unclassified
"Few companies with our long history are still going from strength to strength. We continue to deliver value to shareholders today while investing in our markets, our brands, our new product categories and our people to ensure a sustainable future for our business."	Unclassified
"We continue to deliver good growth across our core tobacco product range. This includes cigarettes, Fine Cut (roll-your-own and make-your-own tobacco) and cigars."	Unclassified
"Using our understanding of consumers, we develop high-quality products and market-leading innovations to differentiate our brands."	Intellectual
We are investing in building a portfolio of innovative new tobacco and nicotine-based products alongside our traditional tobacco business.	Intellectual
"These next-generation products include e-cigarettes, medicinal nicotine products and tobacco heating products."	Intellectual
We aim to provide adult consumers with a choice of less risky alternatives to regular cigarettes as part of our commitment to tobacco harm reduction.	Social_Relationship
"Our portfolio also comprises other popular international brands with strong market positions in many countries. They include Vogue, Viceroy, Kool, Peter Stuyvesant, Craven A, Benson & Hedges, John Player Gold Leaf, State Express 555 and Shuang Xi"	Unclassified
"We have strong market positions in each of our four regions. Our key markets, shown here, account for around 80% of both our total volume and Group profit."	Financial
"We also have two principal associate companies  – Reynolds American Inc. in the US and ITC Ltd in  India – and we have a joint operation, CTBAT, with subsidiaries of China National Tobacco Corporation."	Unclassified
t is about creating shared value for both our shareholders and our stakeholders in wider society.	Social_Relationship
We work with farmers and suppliers to manage our supply chain and the environment responsibly.	Social_Relationship
"Our companies adhere to the high standards of our voluntary marketing principles. As part of our commitment to harm reduction, we are developing a range of innovative tobacco and nicotine products with the aim of offering adult consumers a choice of less risky alternatives to regular cigarettes."	Social_Relationship
"We play a significant role in countries around the world. In many countries we are a top employer and a company of choice for retailers, suppliers, farmers, distributors and other partners. In 2014,"	Unclassified
"our subsidiaries enabled governments worldwide to collect approximately £30 billion in duty, excise and other taxes on our products, which is eight times the Group’s profit after tax."	Social_Relationship
"We employ more than 57,000 people worldwide. They work in a huge range of environments, from city offices to factories, from remote farms to research laboratories"	Unclassified
"he international nature of our business is reflected in the diverse range of nationalities of our people – in 2014, for example, 71 nationalities were represented at our London head office"	Social_Relationship
"I am delighted with the excellent progress we have made in the four years since I became Chief Executive, during which we have enhanced our strategy with a sharpened focus on the consumer."	Unclassified
"We are meeting consumer needs with differentiated products, including innovations which now make up nearly 50% of GDB volume."	Intellectual
"By supporting pricing with strong brands and innovations, substantially reducing costs and improving productivity, we have increased our operating margin by more than 520 basis points over four years."	Financial
We are also making excellent progress towards our goal to lead across the various next-generation product categories.	Intellectual
This performance shows that we have the right strategy for our business – it has served us well in a changing and challenging market environment and it continued to deliver for our shareholders in 2014.	Unclassified
"we continued to grow revenue (+2.8%), adjusted profit from operations (+4.4%) and adjusted diluted earnings per share (+7.9%)."	Financial
"Excluding the transactional effect of foreign exchange, adjusted profit from operations would have increased by an estimated further £90 million or 1.5%."	Financial
"Exchange rates continue to be volatile and in the current year, if rates were to stay where they are today, we would face a substantially larger transactional exchange headwind."	Unclassified
This would impact our constant currency performance and would be in addition to any translational impact on reported numbers.	Unclassified
In 2014 we again increased our market share in our key markets driven by our GDBs’ excellent performance.	Financial
"As a result, our cigarette volume decline of 1.4% was less than the overall industry decline, estimated at 2.5%."	Financial
We also achieved another good improvement in operating margin (	Financial
esult given that we absorbed significant transactional costs caused by currency movements	Unclassified
"Our strategy continued to deliver in 2014, says Nicandro Durante in his Chief Executive’s review. In a tough trading environment we achieved strong results while continuing to invest in our future."	Unclassified
The Group invested in growth opportunities in key markets and in building a pipeline of next-generation products.	Intellectual
"We also made significant progress towards launching Voke, a nicotine inhalation product licensed as a medicine in the UK."	Intellectual
"these developments demonstrate our long-standing commitment to tobacco harm reduction by offering consumers a choice of high-quality, less risky products."	Social_Relationship
"Within our business, we are making good progress in implementing standardised global systems. These will support consistent ways of operating that will make us a more efficient, effective and agile business."	Social_Relationship
"We also continue to invest in attracting, retaining and developing people who will lead the successful delivery of our strategy today and in the future."	Human
"We support effective, evidence-based regulation that meets public health objectives, does not impede our ability to compete and respects our legal rights."	Social_Relationship
Plain packaging and other measures such as excessive excise increases can create ideal conditions for illicit trade.	Unclassified
"n Australia, for example, the black market in tobacco products has increased since plain packaging was introduced"	Unclassified
We will continue to lead the industry in proactively and openly engaging with regulators and wider society on regulatory issues and seek to collaborate with governments and other organisations to combat illicit trade	Social_Relationship
"Despite tough market conditions, the strengths of our business and our people ensured we achieved another competitive set of results and again delivered high single-figure earnings growth at constant exchange rates"	Financial
