Text	Theme
"We are……one of europe’s largest publicly-listed real estate companies. We manage, develop  and finance a £17.8 billion portfolio of properties of which our share is £12.0 billion.  our portfolio is focused on high-quality retail locations around the UK and london offices."	Unclassified
Our objective is……to deliver long-term and sustainable total returns to our shareholders. We do this by creating places people prefer.	Social_Relationship
o	Social_Relationship
"Our strategy is……to create and operate places that people  will prefer when making a decision where to work, shop and live. We are customer-oriented, enabling us to develop a deep understanding  of what is important to people who use our places; we employ a lean team of expert  people who translate this understanding into the  creation of the right places to meet peoples’ needs; and our capital efficiency means we  can effectively finance our portfolio"	Social_Relationship
"financially, our scale gives us  a cost of capital advantage. We are able to access  a broad range of debt providing us with flexible and competitively priced financing"	Financial
g	Social_Relationship
i	Social_Relationship
"Our team……is small and agile, best able to react quickly to  opportunities. although we manage a large  property portfolio, we are a team of 242 employees.  our employees focus on the most highly-skilled  and value-added activities. it keeps our operating  costs low and allows us to be more flexible."	Intellectual
"Our partners……are some of the best known property  investors and food retail businesses.  Partnerships are an important part of our business, allowing us access to attractive investment opportunities, the ability to  share risk, and work with people with complementary skills"	Intellectual
Our values……underpin everything we do.  We believe behaving responsibly  and managing social and  environmental issues are  core to our ability to deliver  long-term value.	Social_Relationship
ntegrityWe do what is right not what is easy	Unclassified
One teaMWorking collaboratively both with internal and external stakeholders.	Social_Relationship
excellenceWe are the best we can be and  have a growth mindset.cOMMercial acuMenWe take the lead in our field.	Unclassified
	
£10.4bnassets under ManageMent£6.9bnOf wHicH we Own24.6m sq ftOf flOOr sPace	Unclassified
sHOPPing centres 66 retail Parks85fOOd suPerstOres	Manufactured
£7.4bnassets under ManageMent£5.1bnOf wHicH we Own7.3m sq ftOf flOOr sPace	Unclassified
"Office-led, Mixed-use caMPuses Over 54 acres witH 33 buildings (including develOPMents)54 stand-alOne Office buildings8Office and residential develOPMents"	Manufactured
£17.8bnassets under ManageMent £12.0bnOf wHicH we Own 31.9m sq ftOf flOOr sPace	Unclassified
£608m cOntracted rent   96.1% OccuPancy rate  10.3 yearsweigHted average lease lengtH	Financial
"lOndOn Office and residentialour offices and Residential portfolio  is focused on London reflecting its position as a leading global city, a place where people want to work, live and visit"	Unclassified
We have an attractive mix of high-quality buildings in well-managed environments and a pipeline of development projects which will  add significantly to our portfolio	Manufactured
