Text	Theme
"Who we areCrest Nicholson has been building high quality new homes and creating great places for 50 years and is a leading developer with a passion  not just for delivering homes but  also for establishing vibrant, sustainable communities"	Social_Relationship
What we deliverOur portfolio includes design-led housing developments and large-scale urban regeneration schemes with a blend of residential and  commercial use	Intellectual
"How we deliverWe aim to deliver excellent, innovative design, high levels of customer  service and quality development  that creates sustainable value in  local communities"	Intellectual
"Our mission Crest Nicholson’s driving ambition is to be the market leader in the design and delivery of sustainable housing and mixed use communities. We aim to improve the quality of life for individuals and communities, now and in the future, by providing better homes, workplaces, retail and leisure spaces where people want to live, work and pl"	Social_Relationship
	
"Experienced management, nurturing talent and developing long-term partnerships   to deliver sustainable resultsResources and relationships we rely on"	Social_Relationship
Financial resources  – working capital and a healthy balance shee	Financial
Natural resources  – land and materials to build with. The Group’s long and well-located land pipeline  is a key asset	Manufactured
"Factors influencing our business modelWe keep our business model under review in response to external factors such as changing government policy, market trends and evolving regulation. For example, the planning system is a major factor in the cost and complexity  of development and can add to the length of time that elapses before a site becomes revenue-generating. Throughout this report we discuss such external factors in more detail"	Unclassified
Revenue – our main revenue stream is the sale of new homes to private individuals and institutions such as housing associations	Financial
"Jobs – we generate jobs during construction, and there are also local economic benefits for the wider community from development"	Social_Relationship
"Community benefits – development activity contributes to new social  infrastructure, including schools, medical surgeries, neighbourhood centres and sports facilities.  Enhanced local environments – through ecologically sensitive development, we aim to  enhance open green space  and natural habita"	Social_Relationship
Meeting our customers’ needs for homes and places that people really want to live in. Offering experienced support and buying advice throughout the house buying process.Providing the best possible customer experience  from initial contact to aftercare	Social_Relationship
"hampioning best practice and driving high standards in quality of build. Well-managed sites leading the industry in considerate construction, health and safety, and waste management.Working with our supply chain to build long-term relationships that deliver value."	Social_Relationship
"Expertise and partnership skills to achieve even the most complex of planning consents, with and for local stakeholders. Creating vibrant communities with a high quality blend of product and tenure.Outstanding masterplans including supporting social infrastructure and public realm"	Social_Relationship
"High quality, diverse and well-located land portfolio  in the southern half of the UK"	Intellectual
Expert knowledge and skills in bringing land forward  to successful planning outcomes	Human
Well-constructed strategic land pipeline adding  to our sustainable land supply	Manufactured
"nnovative infrastructure to support the creation of new communities, e.g. Community Interest Companies to own and manage communal assets.Enduring and affordable management solutions that help secure the long-term future of the places we create.Providing financial contributions to the adoption of local public infrastructur"	Manufactured
	
"The Group’s core operations are focused on the southern half of the UK with an emphasis on creating high quality, well-designed homes and sustainable communities. Combined with a significant land pipeline, our southern bias provides a distinctive offer among the listed house builders. Our diverse portfolio meets the needs of a wide range of purchasers, from first-time buyers to investors, with a bespoke product range that includes a mix of apartments and houses, ranging from  one-bedroom apartments to five-bedroom detached homes"	Unclassified
	
"kills and experience, a scalable, regional delivery model and local knowledge keep us attuned to the needs of communities and ensure that our developments remain sensitive to their individual surroundings"	Intellectual
"Major Projects Division (Crest Nicholson Regeneration) – specialising in larger-scale partnership developments with public and private vendors, including residential and mixed use schemes. ■ Strategic Land Division (Crest Strategic Projects) – focusing on sourcing unallocated sites for medium to long-term development by the Group’s other divisions"	Intellectual
Regional  house building  divisionsEastern   South  South West   Chiltern   London Major Projects  Division Crest Nicholson Regeneration Strategic Land  DivisionCrest Strategic  Pro	Unclassified
"Housebuilder Awards 2014 ■ Sustainable Housebuilder  of the Year. ■ Housebuilder of the Year (Large). ■ Best Regeneration Project for Park Central.British Homes Awards 2014 ■ Homebuilder of the Year.Housing Designer Awards 2014 ■ Bath Riverside, winner in the completed schemes category  and project categor"	Social_Relationship
"NextGeneration Gold Award for sustainability leadership ■ Second out of 25 top house builders with a score of 82%  (all-company average: 34%).NHBC Awards: Health and Safety and Pride in the Job ■ Our site managers won several Regional and National Awards for health and safety, and we also had 12 Quality Award winner"	Social_Relationship
Strategic report Corporate governance Financial statements 13Crest Nicholson  Annual integrated report 2014 21  Our changing landscape 24  Dialogue and partnering 26  Strategy31  Performance 56  Key performance indicators59  Governance and leadership61  Principal risks and uncertainties64   Finance Director’s review	Unclassified
	
"The Group’s results show that it has once again been proactive and effective in bringing forward new homes and new communities to meet this need: in 2014 delivering 2,530 new homes – a significant uplift on the prior year – and increasing operating profits by more than 30%  to £128.1m"	Financial
"The Help to Buy shared equity scheme has played an important role in helping primarily first-time buyers onto the property ladder, providing access to more affordable mortgages and in turn supporting much-needed  housing delivery"	Financial
"n another significant year for the Group, we have seen record financial results achieved through delivering quality and excellence in a market buoyed by strong demand"	Financial
A continuing focus on the southern half of the UK and investment in quality locations where the economy is strong and average selling prices are higher remains the Group’s proven strategy for driving value and providing consistently attractive returns to its shareholders.	Financial
"Having regard to the Group’s financial position and trading prospects over the medium term, the Board proposes a final dividend of  10.2 pence per share (2013: 6.5 pence). The dividend is covered 2.75x by earnings. As the business matures in scale, the Board believes that a progressive reduction in the level of dividend cover, towards 2.0x earnings, would  be appropriate"	Unclassified
"The Group aims to create the widest possible value through its sustainable business model, which balances environmental and social drivers alongside economic ones. Allied to its excellent delivery capability and distinctive proposition focused on customer needs, high quality design and sustainable legacy, this positions the Group well in its markets, maintaining it on a path of well-managed gro"	Intellectual
I am confident that the Board’s experience and knowledge provide the necessary support and direction for the Group to continue delivering long-term value creation for all our stakeholders.	Human
he Group’s consolidated profit after taxation  (pre-exceptional costs) for the financial year ending  31st October 2014 was £98.8m (2013: £71.5m)	Financial
"The Directors propose to pay a dividend of 10.2 pence for the year ended 31st October 2014, which, together with the interim dividend of 4.1 pence per share paid in October 2014, brings the total dividends in the year to 14.3 pence (2013: 6.5 pence)"	Unclassified
	
"There are of course challenges to be managed and, in today’s rising market, the Board is well aware of potential impacts in an industry that relies heavily on the labour, skills and workmanship of our subcontractors to build new homes of quality. The Board is also alert to potential economic uncertainty both in the UK and globally, and potential changes to the political landscape in the wake of the General Election in 2015"	Human
"remain confident, however, that the Board’s experience and knowledge provide the necessary support and direction for the Group to continue delivering long-term value creation for all our stakeholders"	Human
"We look forward to maintaining a strong operational and financial performance in 2015, buoyed by healthy indications for consumer sentiment and mortgage availability. Recent changes to the stamp duty system will also undoubtedly boost activity by removing a degree of consumer uncertainty and helping to solve the affordability challenge so many purchasers are facing."	Unclassified
Without a talented workforce none of this would be possible and I would like to thank the Board and all employees most sincerely for their dedicated and professional contribution to a year of record achievement.	Human
"Strategy testing, including risk scenarios, competitive positioning and 10-year sustainable business model  ■ Development of opportunities, including a new division and further engagement with the private rental sector"	Unclassified
"uccession planning, skills and leadership development, including increased focus on diversity"	Human
"Oversight of plans and performance in customer service, quality standards and product innovatio"	Intellectual
"The Oaks, in the sought-after location of East Grinstead, offers a sensitively designed collection of three-bedroom cottages and four- and five-bedroom family homes, all set within  established woodland"	Unclassified
	
	
"Wholehearted thanks to all our employees who have been instrumental in these results. They bring their expertise to everything we do – working effectively with partners to create masterplans, homes and places that reflect our ambition to provide our customers with high levels of quality and service, good design and sustainable outcomes"	Intellectual
"To name just a few highlights, I was delighted with progress at Swindon this year where we have been working with local authorities to deliver the first implementation of a Crest Nicholson Garden Village. Tadpole Garden Village is one of the first developments of its kind in the country and an exemplar of the benefits of low-density family housing. Our work there this year included speedily delivering a fully functioning temporary school, which is serving local needs while we go about creating the permanent facilitie"	Unclassified
I am delighted to report that the Group has produced another excellent financial performance in a buoyant housing market in which we focused on bringing forward additional new homes to increase  housing supply	Financial
"Meanwhile, our Oakgrove development in Milton Keynes was chosen as the location for the launch of the Labour Party’s Lyons Housing Review. Being delivered through a public–private sector partnership and having achieved an average of two sales per week over the last 18 months – over 80% of them to MK postcode buyers – Oakgrove illustrates how development can meet the housing needs of an existing community"	Intellectual
Sensitive design and place making can also restore pride to inner city areas and nowhere shows this better than Park Central in the heart of Birmingham. Park Central was judged Best Regeneration Project in the 2014 Housebuilder Awards and we were equally delighted to be judged Sustainable Housebuilder of the Year and Large Housebuilder of the Year in 2014	Intellectual
16.5% increase in housing unit completions. ■ Forward sales up 8.4%. ■ Earnings per share up 34%	Financial
