Text	Theme
"RE VENUE (UK)£1 ,075.5M(2013: £940.7m) OPERATING PROFIT(before exceptional items)£1 89.8M(2013: £140.7m)"	Financial
YE AR END CASH £217.7M(2013: £140.5m)	Financial
FULL YE AR  DIVIDEND 8.4P PER SHARE	Unclassified
Gross margin further improved to 63.7% (2013: 61.7%)Strong cash flow enabling substantial increase in dividend and £70m  share purchase programmeBasic earnings per share increased from 15.3p to 24.6p	Financial
"30 new depots opened in 2014, bringing total to 58918 new kitchens introduced, further enhancing our product offering"	Manufactured
Significant increase in capital expenditure announced (c.£60m p.a. over the next three years) to support future growth	Unclassified
Further progress with our 11 trade depots in France	Manufactured
	
"We supply from local stock nationwide the small builder’s  ever- changing routine, integrated kitchen and joinery requirements, assuring best local price, no - call-back  quality and confidential trade terms."	Unclassified
	
"We sold 3.8 million cabinets, 2.3 million joinery doors, over 2 million square feet of flooring, 870,000 worktops and breakfast bars"	Financial
"We opened 30 depots in the UK, bringing the total number of depots in operation to 589."	Manufactured
"We operated over 330,000 active credit accounts for our builder customers, an increase of over 40,000 compared to 2013."	Unclassified
"We employed over 1,100 experienced kitchen designers who carried out over 290,000 kitchen surveys."	Intellectual
We occupied 1 million square feet of factor y space in two factories and 1.5 million square feet of warehousing in our  main distribution centre	Manufactured
"We launched 18 new kitchen designs together with new products  in every category including appliances, worktops, sinks, doors, flooring and accessories.   We made significant progress with our 11 trade depots in France  and started testing new depot formats in France and Belgium."	Intellectual
"We had 7.5 million visits to our website and the number of movie views on our YouTube channel rose to over 700,000"	Unclassified
"Howdens was founded in 1995. ln its first year of operation  it had just 14 depots and sales of £1m. Today, Howden Joinery Group is the UK’s leading trade supplier of kitchens, with  sales of over £1bn."	Financial
u	Unclassified
	
"Howdens employs over 7,000 people in full-time jobs. 5,300 of them work in our local depots across the country. A further 490 people work in our manufacturing sites in the North of England,  in which we have invested over £24m in the last three years."	Human
	
"Howdens employed 280 modern apprentices (145 of whom were subsequently offered full-time employment) and 40 trainee designers. In partnership with the CITB (the training body for the construction industry) we funded the Howden Joinery Bursary for 40 apprentice joiners, helping young people to learn valuable joinery skills"	Human
"We ranked No.12 in the Sunday Times Best Big Companies To Work For list, and No.3 in the Fair Deal category, in which employees rate  the business according to whether they feel fairly compensated for  what they do.  Howdens was responsible for the pensions of over 15,800 people.   We celebrated our 10th year of partnership with Leonard Cheshire Disability, to whom we have donated 50 inclusive kitchens that can be used by people of all abilities. We help to fund LCD’s flagship volunteering programme and our staff regularly take part in fundraising challenges to support LCD’s work"	Human
"During one week in October, we raised over £60,000 (with donations from staff, customers and the company) for 45 homeless charities across the UK.   Our employees were responsible for over 3,000 donations to local activities and associations amounting to a total of nearly £1.5 million. As well as cash donations and fundraising initiatives, joinery and kitchen equipment was given and installed in local schools, village halls, care homes, youth groups and sports clubs."	Social_Relationship
	
	
	
"2014 was a notable year for Howdens, and one in which we made significant progress on a number of fronts. A milestone was reached with sales of over £1 billion. Gross margin continued to improve and strong cash generation resulted in the further strengthening of our balance sheet"	Social_Relationship
"We  have identified more opportunities to take Howdens’ business further forward, and  we are well placed so to do. Over the course  of the year we took important steps to  develop the organisation, and its talent,  that will allow us to make the most of these significant opportunities."	Unclassified
STRATEGIC PROGRESSDuring 2014 we increased our focus on improving the performance of our depots and of our supply operations through mobilising our managers and their teams and engaging them in our shared objective – to build a business that we can all be proud of that will continue to deliver value to all concerned for many years to come	Social_Relationship
Howdens is now operating on a very large scale in a world that grows more complex every day. Managing this combination of scale and complexity successfully is our primary task	Unclassified
We have developed a strategic plan for Howdens to 2020 and beyond. This plan envisages the further development of our UK operations through continuing improvements in the performance of existing depots and significant further expansion of our depot network to take advantage of new opportunities beyond those originally envisaged.	Unclassified
"It follows that it is a priority to make sure that nothing interrupts the continuing availability of stock to our depots. We are therefore stepping up our investment in manufacturing, distribution and infrastructure as the business grows. In particular, we plan to invest in new warehousing facilities and in the resilience of our operations to support future growth"	Manufactured
For some years we have also been exploring the prospects for Howdens beyond the UK. We have effected a step change in the profitability of our French depots and we believe the time is right to build on the nucleus of our French business. We are also drawing on our experience to test our way forward in Belgium and Holland	Manufactured
"ORGANISATIONAL DEVELOPMENTIn May, following a review of our structure and capabilities, we announced a number of organisational changes designed to support the continuing growth and development of Howdens"	Unclassified
"Mark Robson was appointed Deputy Chief Executive, and is now responsible for the day-to-day management of the business. Matthew Ingle continues in his role as Chief Executive, focusing on the further development and implementation of our strategy, and in particular on the culture and the values of the business that have served Howdens so well and will underpin our future success"	Unclassified
"This powerful combination of Matthew and Mark is supported by Rob Fenwick, who spearheaded the restructuring of Howdens' supply operations from 2005 and leads the supply division, and Andy Witts, a co-founder of the business and leader of the depot management team"	Unclassified
"Together, our senior executives are leading the work of organisational and talent development and recruitment that is essential to the long-term sustainability of the business"	Human
"SHAREHOLDER RETURNSOur stated intention is an earnings per share based dividend cover of between 2.5 and 3.0 times, with one-third of the previous year’s dividend being paid as an interim dividend for the following year"	Unclassified
"Given the operational performance of the business and the level of cash generation in 2014, the Board is proposing a final dividend"	Unclassified
	
"in respect of the year of 6.5p per share, giving a total dividend of 8.4p per share for 2014 (2013: 5.5p)."	Unclassified
"We have said that we are targeting a capital structure that is both prudent and recognises the inherent leverage in the business and, after considering our capital requirements, will return surplus capital to shareholders as appropriate. The Group has significant property leases for the depot network, and continues to have a material defecit in the Group pension fund and a small number of legacy liabilities related to the Group’s former ownership of MFI. Taking into account this underlying level of gearing, the Board continues to believe that it is appropriate for the Group to be able to operate throughout the working capital cycle without incurring bank debt."	Unclassified
"Against this background, the Board has reviewed the Group’s cash balances in light of our future investment opportunities, anticipated peak working capital requirements and the trading outlook. As a result it has decided to return £70m of cash to shareholders by way of a share repurchase programme. This will commence shortly and will be implemented over the course of the  next two years"	Unclassified
"BOARD COMPOSITIONThe Board functions as a small but effective team and I am indebted to my fellow directors for their hard work and commitment to the Group. In particular I would like to thank Michael Wemms, our Senior Independent Director, for his work as Chair of the Remuneration Committee, a role which has now been taken on by Tiffany Hall. Michael and I have both served on the Board for eight years and the Board is therefore giving consideration to the appointment of our successors. In my case, the transition to my replacement will be overseen by Michael. The Board is also considering the merits of appointing a further non-executive director."	Unclassified
A RESPONSIBLE BUSINESSI firmly believe that Howdens’ commitment to growth and development must be matched by a continued focus on being a responsible company. Our business model emphasises the	Social_Relationship
"importance of our values, of fair dealing and of personal, local accountability. We work to make sure these values are reflected in the way we treat individuals, in our interactions with the wider community and in the work we do to reduce our environmental impact. In all of these areas, we aim to implement standards that will deliver lasting benefits. A detailed report on our corporate responsibilities can be found on pages 22  to 27."	Social_Relationship
"2014 was an extremely busy year for Howdens and one which placed considerable demands on our people and, in turn, on their families. I am sure that you would wish me to place on record our great appreciation of their considerable efforts and achievements"	Social_Relationship
"LOOKING AHEADHowdens has undergone a major transition in the last five years. Since 2009, profits have more than doubled, as have earnings per share, and the balance sheet has been transformed. Legacy pressures have been overcome, our strategic flexibility has considerably increased and we see good prospects for the further development of the business"	Social_Relationship
"Looking ahead, we expect that the strong cash generation that is a feature of Howdens’ business model will enable us both to pay attractive dividends to shareholders and to make the substantial capital investments necessary to make the most of the many opportunities we have identified within and beyond the UK."	Social_Relationship
"The environment in which we operate is constantly changing. We remain confident in the resilience and flexibility of the Howdens model, and it goes without saying that we will continue to adapt rapidly to suit economic and market conditions and to manage the business in the fashion that has served us so well over the years."	Unclassified
	
"The idea of the business is about building worthwhile, personal relationships so that we can deliver value to all concerned – which means small builders, kitchen users, employees (including past and future employees and their families), business partners, shareholders, local communities and in fact everyone whose life is touched  by Howdens"	Social_Relationship
"To make the business work properly, we have to do things in an uncompromising way. We have to build relationships of trust with our suppliers, both of raw materials and of finished products, so that we can offer the right design, quality and price in every category"	Social_Relationship
We also have to recruit and retain highly motivated staff who consistently do what they say and are prepared to take personal responsibility for their actions.	Human
"We have to design, manufacture and source products expertly and at lowest cost, and distribute them in such a way that our depots are always in stock locally and never let the builder down"	Intellectual
"We have to have low central overheads, because builders only want to pay for things they need"	Unclassified
"Finally, we have to earn the confidence and trust of builders, who rely on us to support their reputation with products of the right type and quality that their customers are proud to own"	Social_Relationship
"We supply these products to builders  when they want them, i.e. from stock,  on confidential trade terms"	Unclassified
"So Howdens is a direct, person-to-person business. This is its core strength and its difference. This is the source of its ability to deliver value in more ways to more people.The business functions because individuals rely on each other to deal promptly, effectively and fairly with everyone, whether they are in  a factory, depot, warehouse, design studio  or office"	Social_Relationship
"This sounds straightforward, but it is hard work. Everything is finely balanced, because everyone depends on everyone else. Personal relationships are individual, dynamic and unpredictable. Businesses find talking about them, and managing them, uncomfortable, but Howdens is built on them"	Social_Relationship
"Howdens’ competitive advantage is rooted in our ability to manage the complexity that is involved in doing what it takes to sustain these relationships and to offer direct, practical help, every day, to hundreds of thousands of customers and thousands of different homes around the country"	Social_Relationship
"This is the basis on which Howdens was founded in 1995, and these are the principles which have driven its growth and survival and created opportunities for further expansion. They have been resilient enough to help it withstand restructuring, recession and the collapse of MFI, and strong enough to underpin a business that employs over 7,000 people, operating out of two factories,"	Unclassified
"a national distribution centre and nearly 600 depots, and generating operating profit of £190 million on sales of over £1 billion"	Financial
"The same principles continue to drive our strategic objective of delivering better and better service, person to person, wherever it is required."	Social_Relationship
	
"BUSINESS MODELThe kitchenKitchens are one of the few things we all use every day, no matter where or how we live. Something as important as a kitchen really  has to work, and keep working."	Unclassified
"The kitchen transcends whatever we might be doing in it at any particular moment. It has to cope with people of all ages using it for many purposes: cooking, eating, drinking, washing, ironing, reading, writing, studying, talking, celebrating, commiserating and making plans. Not to mention the baby bashing the table, the dog licking the cabinets and a teenager trying out a new invention on the worktop."	Unclassified
"We place enormous and ever-increasing demands on the kitchen, and we expect it to take them. We also expect that the kitchen will make our lives easier and more enjoyable"	Unclassified
"This is not a new idea. The functionality of the kitchen has been becoming increasingly complex since the Middle Ages. Most of us now understand that a kitchen that looks good and works properly must be installed by a professional fitter, which is why Howdens sells only to builders"	Unclassified
