Text	Theme
Who we are HSBC is one of the largest banking and financial services organisations in the world.	Unclassified
"Customers: 51m Served by: 266,000  employees (257,600 FTE) Through four global businesses: –  Retail Banking and Wealth Management –  Commercial Banking –  Global Banking and Markets –  Global Private Banking Located in: 73 countries and territories Across five geographical regions: –  Europe –  Asia –  Middle East and North Africa –  North America –  Latin America Offices: Over 6,100 Global headquarters: –  London Market capitalisation: US$182bn Listed on stock exchanges in: –  London –  Hong Kong –  New York –  Paris –  Bermuda Shareholders: 216,000 in 127 countries and territories"	Unclassified
"Our purpose Our purpose is to be where the growth is,  connecting customers to opportunities, enabling businesses to thrive and economies to prosper,  and ultimately helping people to fulfil their  hopes and realise their ambitions."	Social_Relationship
"Our strategic priorities We aim to be the world’s leading and most respected international bank. We will achieve this by focusing on the needs of our customers and the societies we serve, thereby delivering long-term sustainable value to all our stakeholders. In 2013, we announced a set of three interconnected and equally weighted priorities for 2014 to 2016 to help us deliver our strategy: –  grow the business and dividends; –  implement Global Standards; and –  streamline processes and procedures. Each priority is complementary and underpinned by initiatives being undertaken within our day-to-day business. Together they create value for our customers and shareholders, and contribute to the long-term sustainability of HSBC"	Social_Relationship
"How we measure performance We track our progress in implementing our strategy with a range of financial and non-financial measures or key performance indicators. From 2015, we have revised our targets to better reflect the changing regulatory and operating environment. Highlights of 2014 are shown on page 3. For further information on our new targets see page 32"	Unclassified
"Rewarding performance The remuneration of all staff within the Group, including executive Directors, is based on the achievement of financial and non-financial objectives. These objectives, which are aligned with the Group’s strategy, are detailed in individuals’ annual scorecards. To be considered for a variable pay award, an individual must have fully complied with HSBC Values. For further information on HSBC Values, see page 1"	Human
	
"Cautionary statement regarding forward-looking statements The Annual Report and Accounts 2014 contains certain forward-looking statements with respect to HSBC’s financial condition, results of operations, capital position and business. Statements that are not historical facts, including statements about HSBC’s beliefs and expectations, are forward-looking statements. Words such as ‘expects’, ‘anticipates’, ‘intends’, ‘plans’, ‘believes’, ‘seeks’, ‘estimates’, ‘potential’ and ‘reasonably possible’, variations of these words and similar expressions are intended to identify forward-looking statements. These statements are based on current plans, estimates and projections, and therefore undue reliance should not be placed on them. Forward-looking statements speak only as of the date they are made. HSBC makes no commitment to revise or update any forward-looking statements to reflect events or circumstances occurring or existing after the date of any forward-looking statements"	Unclassified
"Written and/or oral forward-looking statements may also be made in the periodic reports to the US Securities and Exchange Commission, summary financial statements to shareholders, proxy statements, offering circulars and prospectuses, press releases and other written materials, and in oral statements made by HSBC’s Directors, officers or employees to third parties, including financial analysts."	Unclassified
"Forward-looking statements involve inherent risks and uncertainties. Readers are cautioned that a number of factors could cause actual results to differ, in some instances materially, from those anticipated or implied in any forward-looking statement. These include, but are not limited to"	Unclassified
"changes in general economic conditions in the markets in which we operate, such as continuing or deepening recessions and fluctuations in employment beyond those factored into consensus forecasts; changes in foreign exchange rates and interest rates; volatility in equity markets; lack of liquidity in wholesale funding markets; illiquidity and downward price pressure in national real estate markets; adverse changes in central banks’ policies with respect to the provision of liquidity support to financial markets; heightened market concerns over sovereign creditworthiness in over-indebted countries;"	Unclassified
adverse changes in the funding status of public or private defined benefit pensions; and consumer perception as to the continuing availability of credit and price competition in the market segments we serve;	Unclassified
"changes in government policy and regulation, including the monetary, interest rate and other policies of central banks and other regulatory authorities; initiatives to change the size, scope of activities and interconnectedness of financial institutions in connection with the implementation of stricter regulation of financial institutions in key markets worldwide; revised capital and liquidity benchmarks which could serve to deleverage bank balance sheets and lower returns available from the current business model and portfolio mix; imposition of levies or taxes designed to change business mix and risk appetite; the practices, pricing or responsibilities of financial institutions serving their consumer markets; expropriation, nationalisation, confiscation of assets and changes in legislation relating to foreign ownership; changes in bankruptcy legislation in the principal markets in which we operate and the consequences thereof; general changes in government policy that may significantly influence investor decisions; extraordinary government actions as a result of current market turmoil; other unfavourable political or diplomatic developments producing social instability or legal uncertainty which in turn may affect demand for our products and services; the costs, effects and outcomes of product regulatory reviews, actions or litigation, including any additional compliance requirements; and the effects of competition in the markets where we operate including increased competition from non-bank financial services companies, including securities firms; and"	Unclassified
"factors specific to HSBC, including discretionary RWA growth and our success in adequately identifying the risks we face, such as the incidence of loan losses or delinquency, and managing those risks (through account management, hedging and other techniques). Effective risk management depends on, among other things, our ability through stress testing and other techniques to prepare for events that cannot be captured by the statistical models it uses; and our success in addressing operational, legal and regulatory, and litigation challenges, notably compliance with the DPA"	Unclassified
	
"Highlights –  Profit before tax was down 17% to US$18.7bn on a reported basis. Adjusted profit before tax, excluding the effect of significant items and currency translation, was broadly unchanged at US$22.8bn."	Financial
Reinforced HSBC’s capital strength. Our CRD IV transitional common equity tier 1 ratio was 10.9% compared with 10.8% at the end of 2013.	Unclassified
Dividends to shareholders increased to US$9.6bn as capital strength created capacity for organic growth and allowed us to increase the dividends paid.	Unclassified
	
"s economic activity in much of the world failed to reach the levels required to rebuild sustainable consumer confidence and prompt renewed investment expenditure, governments most impacted expanded their stimulus measures and the major central banks maintained interest rates at their unprecedented low levels. Concerns over deflationary trends, particularly in the eurozone, grew. Although China delivered growth which comfortably surpassed all other major economies, expectations of slower growth in the future weighed heavily on market sentiment and contributed to significant commodity price falls and further curtailment of global investment spending"	Unclassified
"Unsurprisingly in this environment, revenue growth opportunities were strongest in our Asian businesses, with expansion in lending and debt capital financing"	Financial
"Cost progression continued globally in large part to implement regulatory change and enhance risk controls, notably around financial system integrity and conduct. Streamlining initiatives could only partly offset this cost expansion. Further customer redress costs and regulatory penalties around past failings reinforced the Board’s continuing commitment to prioritise whatever further investment in systems and controls is necessary to mitigate future repetition"	Intellectual
"t is clear now that societal, regulatory and public policy expectations of our industry are changing its long-term cost structure"	Social_Relationship
"Technological advancements around data analytics, including ‘big data’, are providing much more sophisticated tools to enhance our capabilities to protect the financial system from bad actors. Also, as more and more customers choose to transact online and through mobile devices, we are making the necessary investment to protect ourselves and our customers from cyber threats."	Social_Relationship
Building the required analytical capabilities entails considerable investment in systems and in maintaining customer data which is accurate and up to date. Reconfiguring customer and transactional data to the digital age is no small endeavour given legacy systems and a multiplicity of historical data standards globally.	Intellectual
"The benefits, however, of enhanced customer due diligence capabilities and greater systems security essentially go to the core of our systemic role and allow us to be more proactive in fulfilling that role as a key gatekeeper to the financial system"	Intellectual
"As our industry reshapes in response to public policy and regulatory directives, we now need to demonstrate, through clarity of our business model, the value to society of our scale and diversification. We mus"	Social_Relationship
never forget that investors have choices where to invest and individuals have choices where to make their careers. Thus it is essential that we can demonstrate a positive contribution to the societies we serve in order to bolster the business friendly environment that all agree is essential for economic growth and prosperity	Social_Relationship
"For 150 years HSBC has been following trade and investment flows to serve customers as they fulfil their financial ambitions. In a world which has moved from being interconnected to being interdependent, our business model is increasingly relevant to companies of all sizes and to individuals whose financial future is linked to economic activity in multiple countries"	Financial
"This can be seen most markedly in our Commercial Banking business, which delivered a record year buoyed by the expansion of supply chain management solutions and increasing cross-border payment flows."	Intellectual
"Our network coverage of the countries which originate more than 85% of the world’s payment activity drives this key element of our business model. On the investment side, throughout our network we saw corporate flows continuing to target the higher growth emerging markets. At the same time, growth in outward investment from mainland China accelerated as its major companies sought diversification and access to both skill bases and markets"	Intellectual
"These trends played to HSBC’s scale and presence in the key financial centres, allowing us to support customers with debt and equity financing solutions, offering tailored liquidity and transactional banking support and providing risk management solutions primarily against our clients’ interest rate and foreign exchange exposures"	Financial
"Success was evidenced by growing recognition in industry awards, the most important of which are referred to in the Group Chief Executive’s Review. Finally, our Retail Banking and Wealth Management business continued its journey to build a sustainable customer focused business model, completing the removal of formulaic links between product sales and performance-related pay of our staff, and expanding our digital and mobile offerings"	Intellectual
"HSBC’s performance in 2014 reflected another year of consolidation in the reshaping and strengthening of the Group against a backdrop of geopolitical and economic headwinds, many of which could not have been foreseen at the outset of the year."	Unclassified
	
"Performance in 2014 Profit before tax of US$18.7bn on a reported basis was US$3.9bn or 17% lower than that achieved in 2013. This primarily reflected lower business disposal and reclassification gains and the negative effect, on both revenue and costs, of significant items including fines, settlements, UK customer redress and associated provisions. On the adjusted basis that is one of the key metrics used to assess current year management and business performance, profit before tax was US$22.8bn, broadly in line with 2013 on a comparable basis"	Financial
"Earnings per share were US$0.69, against US$0.84 in 2013. The Group’s capital position remained strong with the transitional common equity tier 1 ratio standing at 10.9% at the end of the year, compared with 10.8% 12 months earlier, and our end point ratio at 11.1% compared with 10.9%. Based on this capital strength and the Group’s capital generating capabilities, the Board approved a fourth interim dividend in respect of 2014 of US$0.20 per share, taking the total dividends in respect of the year to US$0.50 per share (US$9.6bn, US$0.4bn higher than in respect of 2013"	Financial
"Taking into account this financial performance, together with the further progress made in reshaping the Group, responding to regulatory change and implementing Global Standards, the Board considered executive management to have made good progress during 2014 towards strengthening HSBC’s long-term competitive position. The Group Chief Executive’s Review analyses in detail the important benchmarks and highlights of 2014"	Financial
Regulatory landscape becomes clearer but still much to do A great deal of progress was made during 2014 to finalise the framework under which globally systemic banks like HSBC will be required to operate when it is fully implemented. This clarity is essential if we are to be able to position our global businesses to meet the return expectations of those who invest in us within an acceptable risk appetite.	Unclassified
"n particular, major progress was made in addressing the challenge of ‘too big to fail’, largely through finalising proposals to augment existing loss absorbing capacity with ‘bail-inable’ debt and through greater definition of how resolution frameworks"	Unclassified
"would operate in practice. In both cases, this involved the critical issue of how to address cross-border implications and home and host country regulatory responsibilities"	Unclassified
