Text	Theme
"We are meeting our customers’ needs by creating a simpler, more responsive organisation and are investing in our digital capability while maintaining a comprehensive branch network."	Intellectual
By becoming the best bank for customers we believe we can help Britain prosper and deliver strong and sustainable returns for our shareholders	Natural
	
For more on our Retail division’s financial  performance go to page 44 or visit  www.lloydsbankinggroup.com 44 For more on our Commercial Banking division’s  financial performance go to page 46 or visit  www.lloydsbankinggroup.com	Unclassified
"COMMERCIAL BANKINGOur Retail division is a leading provider of current accounts, savings, loans and mortgages to personal and small business customers in the UK.We have an extensive multi-brand, multi-channel offering. With more  than 2,200 branches we have the largest branch network and one of the largest fee free ATM networks in the UK and also provide a comprehensive digital, telephony and mobile service. We serve millions of customers through our Lloyds Bank, Halifax, Bank of Scotland and Scottish Widows brands. Our Commercial Banking division has a rich heritage of supporting UK businesses from SMEs to large corporates and financial institutions.Commercial Banking provides lending, deposits and transaction banking services to corporate clients as well as offering expertise in capital markets (private placements, bonds and syndicated loans), financial markets (foreign exchange, interest rate management, money markets and credit) and private equity.     £3,228m £2,206m"	Unclassified
UNDERLYING PROFIT	Financial
1 in 4 £286bnRetail deposit balancesFirst-time buyers helped by  us to buy their first home	Unclassified
	
"Our Consumer Finance division provides asset finance solutions and credit cards to consumer and commercial customers.In Asset Finance, Black Horse provides motor finance loans to over 200,000 customers through more than 5,000 dealers. Lex Autolease  is the UK’s leading fleet management and fleet funding specialist  with close to 300,000 vehicles under management.We are also one of the UK’s leading credit card issuers through our Consumer and Commercial Cards businesses meeting the needs of seven million customers daily through purchasing and flexible short-term borrowing propositions and payment acceptance services for UK merchants."	Unclassified
"Our Insurance division provides customers with  long-term savings, investment and protection products  and general insurance.Our long-term savings, investment and protection products are offered under the Scottish Widows brand. Products are available through intermediaries, direct channels and also through our Retail division  via Lloyds Bank, Halifax and Bank of Scotland. The General Insurance business is a leading provider of home insurance in the UK, with products sold through the branch network, direct channels and strategic corporate partner"	Unclassified
l	Unclassified
	
"FINANCIAL PERFORMANCE  SUBSTANTIAL INCREASE  IN PROFITABILIT Y  AND RETURNS £7.8bn£1.8bn +26%Underlying profit increased  26 per cent to £7,756 million"	Financial
"Statutory profit before tax  of £1,762 million, despite legacy items including £2,200 million of PPI charges"	Financial
0.75pDelivery of strategy and increased profitability has enabled resumption of dividend	Unclassified
	
Completed sales totalling approximately 50 per cent of TSB	Financial
£17bnRun-off portfolio reduced by more than £140 billion to £17 billion	Unclassified
	
"Overview and strategyMy first year as Chairman of Lloyds Banking Group  saw the achievement of our 2011 strategic plan. We have delivered on our key strategic priorities over the last three years, reshaping the Group to focus on serving our UK customers and returning the balance sheet to strength"	Unclassified
while at the same time generating a significant improvement in underlying profitability and recommencing a dividend payment	Financial
"I would like to extend my thanks to the Board, the management team and all colleagues across the Group for their determination to see this through."	Unclassified
"While we are all proud of these achievements, we recognise that this is a base for the future, not the end of the strategic journey. There are major changes in the environment as well as our own capabilities that we need to address in the next phase of our development to become the best bank for customers and shareholders."	Unclassified
"The next phase of our strategy, announced in October, outlined how we will focus on creating the best customer experience, becoming simpler and more efficient and delivering sustainable growth."	Social_Relationship
"As a Board, we have spent much time discussing how we could take the business forward, recognising the impact that the evolving regulatory and competitive environment and customers’ changing needs are having on our UK retail and commercial banking focused business. We believe that digital transformation in particular will res"	Unclassified
We believe that digital transformation in particular will result in more fundamental change occurring in the banking industry over the next decade than we have seen in the last 200 years	Intellectual
"I am confident that our low cost, low risk, customer focused, UK retail and commercial banking strategy is the right one in the current environment. It capitalises on the Group’s unique assets, including its franchise and capabilities, and is also consistent with our prudent risk appetite as well as our mission to ‘Help Britain Prosper’"	Unclassified
"Alongside this strategic challenge, it is essential that we also rebuild trust. This is a major challenge for the UK financial services sector, not just because of the damage caused by the financial crisis but also because of the continuing legacy of past industry misconduct. As well as the continuing impact of issues such as Payment Protection Insurance we also announced settlements on LIBOR and BBA repo rate issues"	Unclassified
"The Board regards the actions of those individuals responsible for this misconduct as completely unacceptable. Their behaviour involved a gross breach of trust and we condemn it without reservation. Doing the right thing for customers is an integral part of our strategy and I am convinced that these actions are entirely unrepresentative of the vast majority of our staff who are committed to delivering outstanding service, recognising that trust is at  the core of our business."	Social_Relationship
"It is clear that regaining this trust, which is a business imperative rather than a ‘nice to have’, will take time. We are completely committed to achieving this by setting the highest possible standards of integrity to serve our customers and clients."	Social_Relationship
	
"RegulationAs a result of the financial crisis, there has been a  great deal of change in the regulatory environment in recent years. The regulators have made good progress in improving financial stability through prudential regulation and they are now putting greater emphasis on protecting"	Unclassified
"Capital requirements, though not yet finalised, are much clearer and the significant progress made in improving our capital position means we are now well placed. During the year, the Group met the capital benchmarks set out by the European Banking Authority (EBA) and the Prudential Regulation Authority (PRA) stress testing exercises, with no additional capital action required; a further demonstration  of our robust capital, liquidity and funding position."	Financial
"The ring-fence perimeter was clearly set in 2014, although final details and implementation of the rules remain undetermined. Our strategy continues to envisage a simple, low risk organisation with a business model focused on traditional retail and commercial banking, that would predominantly sit within the ring-fence"	Unclassified
"We were delighted to welcome four new Independent Non-Executive Directors to the Board during the year. Dyfrig John joined in January, Nick Prettejohn and Simon Henry in June and Alan Dickinson in September. These appointments bring a good balance of additional skills and experience to our Board"	Human
"Our Deputy Chairman, David Roberts, stepped down in May to become Non-Executive Director and Chairman-Elect at Nationwide. I and my colleagues are grateful for the tremendous contribution he made to the Group during his period on the Board. We were pleased to announce the appointment of Anita Frew, a non-Executive Director with the Group since 2010, to this role."	Unclassified
Regaining trust is a business imperative rather than a ‘nice  to have’. We are completely committed to achieving thi	Social_Relationship
"Our BoardThe Board has seen a number of changes this year, and in line with the provisions of the UK Corporate Governance Code and the interests of good corporate governance, all Directors are required to submit themselves for re-election on an annual basi"	Unclassified
"We are committed to ensuring we have the right balance of skills and experience within the Board, and we annually review its composition, and the diversity of backgrounds of its members."	Human
"Board oversight – key topicsDuring 2014, the Board continued to review the Group’s corporate strategy, the operation of the business and our results within a framework of prudent and effective controls, including the assessment and management of risks. Key topics arising through the year included"	Unclassified
"discussion and oversight of the Group Strategic Update;–  the appointment of four Non-Executive Directors in order to strengthen the Board’s experience in the areas of financial services, banking, risk and insurance;–  the initial public offering (IPO) of TSB Banking Group plc  in order to meet the Group’s commitments to the European Commission;–  the banking stress tests conducted by the EBA and the PRA in order to assess banks’ resilience to market downturns;"	Unclassified
the resolution of legacy issues with regulators in  the UK and US in respect of the manipulation of the  London Interbank Offered Rate (LIBOR) and the  Sterling Repo Rate and continued focus on  Payment Protection Insurance; and	Unclassified
–  the continued creation of a corporate culture that values integrity and best practice standards and that puts customers first.	Social_Relationship
	
"This is vitally important. As I noted earlier, trust is not a ‘nice to have’ – it’s a ‘must have’. It provides the foundations on which we can build sustainable success as a responsible business dedicated to meeting our customers’ needs. It is also, I am convinced, a true reflection of the values and commitment of our hardworking staff, all of whom I would like to thank on behalf of the Board for their dedication to serving our customers"	Social_Relationship
"RemunerationWe continue to believe that remuneration policy at all levels, including for senior executives, needs to motivate staff to deliver strong, sustainable growth whilst supporting the business strategy. We strongly believe in ‘rewards for success’, properly earned not just paid by default. That means aligning rewards to the longer term, sustainable success of our business and through this the delivery of value to shareholders. It also means holding back or removing performance rewards where managers have  failed to meet their objectives"	Unclassified
"Despite better results in 2014, the total bonus outcomee for the year has decreased by approximately 3.6 per cent (after adjusting for TSB). This reflects the continuing overhang of past conduct issues. Discretionary bonus awards remain"	Unclassified
"a very small percentage of revenues at approximately 2 per cent, and represent approximately 4.5 per cent of pre-bonus underlying profit before tax, compared to 6 per cent in 2013. Cash bonuses are capped at £2,000 with additional amounts paid in shares and subject to deferral and performance adjustment. Average bonus awards across all our staff are approximately £4,500."	Financial
More information on how we ensure our approach to remuneration supports the business strategy can be found  in the Directors’ remuneration report later in this documen	Unclassified
"OutlookAs we enter 2015, a ‘milestone’ year during which we celebrate the 200th anniversary of Scottish Widows and the 250th anniversary of Lloyds Bank, it is important that we look back with pride but also keep looking forward and adapt to the changing landscape of the future. I believe we are very well placed to make the most of the opportunities that exist."	Unclassified
"Community and cultureWith a network of more than 2,200 UK branches and a focus on supporting small to medium-sized businesses, we are well positioned to help our local and national communities. Our commitment to invest in the long-term economic future of the UK is highlighted, not just through the significant lending to customers, particularly SMEs and first-time buyers, but also through the many community programmes we run, including our Lloyds Scholars programme, our Social Entrepreneurs programme and our Career Academies."	Social_Relationship
"We remain dedicated to our charitable initiatives and I am thrilled that we raised more than £6 million from our two-year partnership with the Alzheimer’s Society and Alzheimer Scotland. The money, which is significantly higher than our 2014 target, will go towards the Dementia Research Leaders Programme, working to improve dementia research and transform our understanding of the condition"	Social_Relationship
"With a network of more than 2,200 UK branches and a focus on supporting small to medium-sized businesses, we  are well positioned to help our local and national communities"	Social_Relationship
I am also delighted to announce that BBC Children in Need will be the Group’s Charity of the Year partnership for 2015 and 2016. We chose BBC Children in Need because we share the same goal of supporting communities across the UK and we will be working together to change the lives of disadvantaged children and young people	Social_Relationship
"A responsible businessDoing business fairly and responsibly is the best way to rebuild trust with Britain’s households, businesses and communities. It also rebuilds our colleagues’ pride in our Group. Our business model puts customers at the heart; based on traditional attributes such as prudence and a long-term view, whilst making the most of emerging digital channels. The best of the past combined with the best of  the present and the future"	Social_Relationship
"I see increasing evidence that we are returning to the qualities that historically made our bank a pillar of local communities, applying these qualities to meet the changing demands of our customers"	Social_Relationship
	
"Highlights2014 was a year of continued delivery for the Group, with the achievement of the key objectives set out in our 2011 strategic plan resulting in a significant transformation of the business and improvement in performance. Strategically, we are now a low risk bank, with a strong balance sheet and funding position and industry cost leadership, all of which provide competitive differentiation"	Intellectual
