Text	Theme
"The retail industry is going through a period of profound change. Many of the actions we set out as part of our strategy three years ago, and have since implemented, put M&S in a stronger position to compete in this new world"	Unclassified
"In 2013/14, we delivered major infrastructure projects that strengthened our business. Our new M&S.com website and our new distribution centre at Castle Donington are both essential in our strategy to transform M&S from a traditional British retailer into an international, multi-channel retailer."	Manufactured
We have repositioned our website as our ﬂ agship and its design has been centred on the needs of our customers. Castle Donington is one of the largest dedicated e-commerce sites in the UK and is capable of processing over one million products a day. We are now working to ensure these projects deliver at their full operating capability	Intellectual
"We made these improvements against a challenging economic backdrop. Consumer confi dence improved over our fi nancial year but overall increases in incomes lagged inﬂ ation, meaning that consumers did not feel the benefi t in their discretionary spending."	Unclassified
"Our performance over the year was mixed and, as a result, our underlying profi ts before tax fell 3.9% to £623m.Our three-year programme of exceptionally high capital expenditure associated with our strategic priorities is now completed. We are working hard to prepare our business for the future, while not forgetting the values that underscored our past. Now we are focused on delivering the fi nancial results from this investment."	Financial
"We made progress in three areas this year: Food, M&S.com and International. Our online business performed ahead of the market and the new website, launched in February, was recognised as industry-leading; our food business is growing faster than the market and operational effi ciencies were achieved; and we saw growth in our International business, with a strengthened presence and signifi cant growth in our priority markets."	Intellectual
"However, our General Merchandise performance did not meet our own expectations. The team is working hard on a comprehensive plan to address this. Improvements in product quality and style were welcomed by our customers and, together with operational effi ciencies, now have to be delivered consistently to translate into the required improvements in fi nancial performance."	Financial
"DividendOur dividend policy remains a progressive one, with dividends broadly twice covered by earnings. In line with this policy, we remain committed to delivering consistent returns to our shareholders. We intend to pay a fi nal dividend of 10.8p this year, taking the total dividend to 17p, unchanged from last year."	Unclassified
"The Board’s prioritiesIn my fi rst report as Chairman in 2011, I wrote that the Board focuses its work on three main areas: strategy and execution, people and succession, and values. This remains the case. Our strategy to transform M&S from a traditional British retailer to an"	Unclassified
"international, multi-channel retailer remains unchanged. Whilst the Board continues to discuss each element of the strategy, the focus is on execution. With demonstrable progress in our Food and International business, and clear advances in our infrastructure, the attention has been particularly focused on the progress in executing the key steps to improve our General Merchandise business performance"	Financial
"In relation to people and succession, there have been a number of changes to the Board this year. All of these have been carefully managed to ensure effective succession plans were in place."	Social_Relationship
Interim dividend paid on 10 January 20146.2pFinal dividend to be paid on11 July 201410.8pTotal dividend for 2013/1417.0p	Unclassified
Our number of independent non-executive directors is in line with the UK Corporate Governance Code – Our Senior Independent non-executive director is Jan du Plessis – We have clear separation of duties between Chairman and CEO roles – Performance evaluation of the Board and its Committees was undertaken during the year and is externally facilitated at least every three years (due 2015) – The Directors have all attended an acceptable level of Board and Committee meetings – The Directors all stand for re-election annually – The composition of all Board Committees complies with the application recommendations of the Code – Two members of the Audit Committee have recent and relevant fi nancial experience	Unclassified
"We have a Policy for the award of non-audit work, which is disclosed on our website, and we have disclosed the non-audit work undertaken – The tenure of our external auditor was over 10 years. We have appointed a new statutory auditor for 2014/15, subject to shareholder approval – We disclose our external auditor appointment policy – Details on the internal audit function are provided in this report – A signifi cant part of our performance- related pay is delivered through shares – Our reward framework is simple and transparent, designed to support and drive our business strategy."	Unclassified
	
"our strategy, and employees are regularly updated on our plans through a wide range of activities, including our employee magazine and online news updates. All employees have access to Yammer, an internal social network. This year, our non-executive directors increased their engagement with colleagues in the business through our popular Employee Breakfasts and Non-Executive Lunches."	Human
Looking aheadOur capital expenditure will fall in the year ahead as we complete projects that accounted for exceptional capital expenditure as part of our transformation programme.	Manufactured
"Our priority now is to deliver on the investment we have made and to make M&S more profi table, as well as a stronger, well-equipped business. There is real potential for further profi table growth, both in the UK and overseas. We have highlighted the opportunities for growth and performance improvements in each area of our business in this report and at our recent investor days: this applies in both our Food and General Merchandise businesses, whether in store or online, in the UK or internationally"	Financial
