Text	Theme
INTEGRATED ANNUAL REPORT for the year ended 31 March 20	Unclassified
	
INTEGRATED BUSINESS OVERVIEW1 Report profi le2 Performance highlights 5 Value added statement  6 Organisational overview1 0 Board of directors12 Our vision13 Our values14 Strategic objectives15 Investment case1 6 Seven-year reviewPERFORMANCE AND FUTURE OUTLOOK20 Chairman’s Report2 2 Chief Executive Offi  cer’s Report2 6 Chief Financial Offi  cer’s ReportOPERATIONAL REVIEWS3 6 Southern Africa42 Switzerland4 8 United Arab EmiratesGOVERNANCE AND SUSTAINABILITY52 Clinical Services Report76 Risk Management Report82 Corporate Governance Report92 Social and Ethics Committee Report9 4 Sustainability Performance Highlights1 0 4 Remuneration ReportSUMMARISED FINANCIAL STATEMENTS1 0 9 Independent Auditor’s Report11 0 Summarised fi nancial statementsSHAREHOLDER INFORMATION117 Analysis of shareholders120 Shareholders’ diary121 Administration  12 2 Glossary124 Notice of annual general meeting and proxy form	Unclassified
	
"This integrated annual report, including the notice of annual general meeting, is available on the Company’s website at www.mediclinic.com and will be posted to our shareholders and stakeholders who have requested to be added to our mailing list no later than 24 June 2014. Printed copies are available on request from the Company Secretary"	Unclassified
"REPORTING PRINCIPLESThe contents included in the integrated annual report are deemed to be useful and relevant to our stakeholders, which the Group, with due regard to our stakeholders’ expectations through our continuous engagement or that may inﬂ uence the perception or decision-making of our stakeholders. The information provided aims to provide our stakeholders with a good understanding of the fi nancial, social, environmental and economic impacts of the Group to enable them to evaluate the ability of Mediclinic to create and sustain value for our stakeholders"	Social_Relationship
"This integrated annual report was prepared in accordance with the International Financial Reporting Standards, the Listings Requirements of the JSE, as well as the Companies Act, 71 of 2008, as amended, where relevant. The Company’s reporting on sustainable development was done in accordance with the fourth revision guidelines of the Global Reporting Initiative (“GRI G4”). The Company has applied the majority of the principles contained in the King Report on Governance for South Africa 2009 (“King III”). All the King III principles which the Company has not applied are explained, where applicable,in the integrated annual report, also stating for what part of the year any non-compliance had occurred. An index on the application of the King III principles is published on the Company’s website at www.mediclinic.com. The Company has also considered and applied many of the recommendations contained in the International Integrated Reporting Framework issued by the International Integrated Reporting Committee in December 2013, as endorsed by the Integrated Reporting Committee of South Africa. This report aims to provide a succinct integrated annual report. The Sustainable Development Report and the detailed annual fi nancial statements in respect of the year under review are available on the Company’s website at www.mediclinic.com."	Unclassified
"SIGNIFICANT EVENTS DURING REPORTING PERIODNo signifi cant events occurred during the reporting period or after the end of the reporting period, which may have an impact on the Group’s operation"	Unclassified
"EXTERNAL AUDIT AND ASSURANCEThe Group’s consolidated annual fi nancial statements, as well as the summarised consolidated annual fi nancial statements were audited by the Group’s independent external auditors, PricewaterhouseCoopers Inc., in accordance with International Standards of Auditing. The report of the external auditors in respect of the summarised consolidated annual fi nancial statements is included on page 109"	Unclassified
"Various other voluntary external accreditation, certifi cation and assurance initiatives are followed in the Group, complementing the Group’s combined assurance model, as covered throughout the integrated annual report. We believe that this adds to the transparency and reliability of information reported to our stakeholders. Please refer to Figure 4 of the Sustainable Development Report for further details"	Social_Relationship
CONTACT USWe welcome the opinions and suggestions of all our stakeholders. Please see the contact details included on page 121	Unclassified
	
STRONG GROWTH IN PATIENT NUMBERSPOSITIVE EFFECT OF GROUP REFINANCING FOR FIRST FULL YEAR POSITIVE EFFECT OF ACQUIRING MINORITY INTEREST IN MEDICLINIC MIDDLE EAST POSITIVE IMPACT OF CURRENCY MOVEMENTSBASIC NORMALISED HEADLINE EARNINGS PER SHARE INCREASED BY 45% TO 377.1 CENTS	Financial
TOTAL DIVIDEND PER ORDINARY SHARE INCREASED TO 96.0 CENTS (2013: 85.8 CENTS)	Unclassified
NORMALISED REVENUE (R’M)20102011201220142013 17 14118 62521 98624 58730 495NORMALISED EBITDA (R’M)20102011201220142013 3 7364 1034 6595 2376 467NORMALISED HEADLINE EARNINGS (R’m) 20102011201220142013 8521 0821 2111 9243 05	Financial
CAPITALISED INVESTMENTS (PROJECTS AND EQUIPMENT (R’M)20102011201220142013 1 3001 1271 4432 0222 605	Manufactured
	
FINANCIAL 2014 2013 % changeNormalised revenue R’m 30 495 24 587 24%Normalised EBITDA R’m 6 467 5 237 23%Cash generated from operations R’m 6 340 5 571 14%Normalised headline earnings R’m 3 052 1 924 59%Total assets R’m 70 534 56 742 24%Shareholders’ equity R’m 24 468 17 206 42%Return on shareholders’ equity % 12.5 11.2 12%Normalised headline earnings per ordinary share – basic  cents 377.1 259.3 45%Normalised headline earnings per ordinary share – diluted cents 369.1 252.2 46%Total distribution per ordinary share cents 96.0 85.8 12%Net asset value per ordinary share  cents  3 020.3   2 129.8  42%Adjusted net asset value per ordinary share* cents  3 081.8   2 213.6  39%	Financial
	
Number of employees* 26 076 23 475– Southern Africa 15 882 14 927– Switzerland  7 950   6 508 – United Arab Emirates	Human
Staff   turnover rate– Southern Africa 9.1% 9.8%– Switzerland 13.9% 15.1%– United Arab Emirates 10.1% 9.5%Training spend as approximate % of payroll– Southern Africa 3.3% 3.3%– Switzerland 5.0% 4.2%– United Arab Emirates	Human
Spent on corporate social investment– Southern Africa** R'm 9.0 5.8– Switzerland CHF'm 2.1 1.7– United Arab Emirates AED'm 0.6 0.4BBBEE (South Africa only)– BBBEE scorecard contributor level  4 4– Percentage black employees 67.2% 64.4%– Percentage black management employees	Social_Relationship
Ranking in CDP Climate Disclosure Leadership Index joint 2nd joint 4thTotal energy usage Gigajoules 953 530  908 952 – Southern Africa 627 335  624 948 – Switzerland (per 2012 and 2013 calendar years)  262 177   219 302 – United Arab Emirates (hospitals only)	Natural
	
VALUE CREATEDNormalised revenue 30 495  24 587 Cost of materials and services (11 166) (9 072)Finance income 73  69 19 402  100	Financial
VALUE RETAINEDTo maintain and replace assets 1 225   6.3  994   6.4 Income retained for future growth	Manufactured
