Text	Theme
	
"I am pleased to report another successful year for Mondi. Underlying earnings per share increased by 13% to 107.3 euro cents per share, and our ROCE was 17.2%. The Group’s solid financial results, delivered despite continued slow economic growth in a number of key markets, are testament to our robust business model and high-quality, low-cost asset base."	Financial
"Revenue was broadly in line with the prior year. On a like-for-like basis, selling prices and volumes were similar to the prior year with revenue boosted by the acquisition of the bags business in the US, offset by negative currency impacts and disposals or closures of non-core businesses."	Financial
	
"Underlying operating profit of €767 million was up 10% on 2013. Packaging Paper continued to deliver very strongly despite a generally weaker pricing environment, driven by cost reduction and currency benefits"	Financial
"Our Fibre Packaging business benefited from lower paper input costs and good volume growth. Consumer Packaging saw a strong improvement in trading in the second half of the year. Coupled with the benefits of a number of sales and margin improvement initiatives, the business was able to deliver a pleasing improvement in year-on-year performance. Uncoated Fine Paper came under pressure from weaker pricing and negative currency effects, but nevertheless continued to deliver strongly, while the South Africa Division benefited from higher average selling prices and the weak rand."	Financial
"Contributing to these results were the benefits from recently completed capital investments, primarily around energy efficiencies and other cost optimisation in the pulp and paper operations, and continued strong cost management across the Group. In addition to lower energy costs, our energy investments completed over the last few years have significantly improved the efficiency and self-sufficiency of our larger, more energy intensive pulp and paper operations"	Natural
	
"Consistent with the prior year, the impact of the Group’s maintenance shuts on underlying operating profit was around €55 million. In 2015, the effect is expected to be more significant, with longer shuts planned at certain mills to allow for project implementation and the move of certain mills to an 18 month rotation. The impact on underlying operating profit, at prevailing price levels, is estimated at around €80 million."	Financial
"Cash generated from operations of €1,033 million was similar to 2013, despite an increase in working capital of €87 million. Excluding the impact of acquisitions, working capital as a percentage of revenue was 12.3%, marginally above our targeted 10-12% range"	Financial
"Growing in line with our strategyWe remain well positioned as a leading international packaging and paper group, with a strong platform for growth. Our clear intention is to grow our packaging interests.We will continue to develop our presence in emerging markets, particularly in our pulp and paper operations, where inherent growth and cost benefits are most apparent. In our Fibre Packaging and Consumer Packaging businesses, we see opportunity to develop by leveraging our competencies in both mature and emerging markets"	Unclassified
	
Our key value drivers bring our strategy to life:• We develop and maintain leading positions in markets that offer us growth opportunities	Unclassified
"We invest in our exceptional people and our high-quality, low-cost operations, keeping  us competitive and giving us sustainable cost advantages"	Social_Relationship
Our continuous focus on sustainable operational improvements and rigorous asset management helps us to keep improving productivity and reducing costs	Social_Relationship
"We work with our customers to develop smarter, more cost-effective processes  and products to help them succeed"	Social_Relationship
"While acquisition-led growth remains a key component of our strategy, and we will continue to evaluate opportunities as they arise, we currently see greater opportunity for value-enhancing growth through capital investments in our existing operations. To this end, we successfully completed a number of major projects during the year, and have approved a strong pipeline of projects for implementation over the coming two years."	Intellectual
"We completed the following key projects during the year:• In April, our €70 million, 155,000 tonne per annum bleached kraft paper machine in Štětí, Czech Republic was successfully started up"	Manufactured
d	Intellectual
"n November, we commissioned the new €128 million recovery boiler in Ružomberok, Slovakia, making the mill 100% energy self-sufficient and significantly improving its environmental footprint, in addition to reducing ongoing operating and maintenance costs and providing additional pulp production capacity"	Manufactured
"Also in November we completed the €30 million pulp dryer in Syktyvkar, Russia, which can produce 100,000 tonnes of FSC® certified softwood market pulp per year"	Manufactured
"We have a strong capital project pipeline:• The €166 million project in Świecie, Poland, bringing forward the planned replacement of the recovery boiler and coal fired boilers, is progressing according to plan and on track for project start-up in the second half of 2015"	Manufactured
"Early in 2015, the Boards approved the €94 million second phase of the above project at Świecie to ensure full utilisation of the new recovery boiler’s capacity, providing an additional 100,000 tonnes per annum of softwood pulp, 80,000 tonnes per annum of kraftliner and further improving the mill’s product mix flexibility"	Manufactured
The Boards have approved approximately €30 million for a project at the South Africa Division’s Richards Bay mill to upgrade its wood yard	Manufactured
"Other significant projects in progress or approved during the year, amounting to approximately €130 million, include projects intended to further modernise some of the Group’s kraft paper and converting operations, provide additional capacity and production flexibility and reduce ongoing operating and maintenance costs"	Manufactured
"The incremental operating profit expected from major projects in 2015 is around €50 million (2014: €45 million), illustrating the benefits that arise from these high-return investments. Given this project pipeline, and in the absence of any other major projects, capital expenditure is expected to average €550 – €560 million per year over the next two years."	Financial
"In terms of acquisitions, we extended our global leadership position in industrial bags with the acquisition of Graphic Packaging’s bags business in the US in June, while in Consumer Packaging we acquired a modern converting plant in Poland in July"	Manufactured
"We successfully launched a number of new products and received a variety of product awards, demonstrating our commitment to innovation. We were particularly pleased to receive the distinguished External Business Partner Excellence Award 2014 from Procter & Gamble."	Intellectual
New products launched include: ProVantage Prestigewhite (fully bleached kraftliner  for superior printability)Advantage Formable White (specially designed kraft  paper for forming and embossing applications)Hang-on Stand (rack-attachable display solution)Touch Bag (embossed industrial bag for improved branding and piracy protection)Nespresso Bag (Nespresso Austria using our Sustainex® biodegradable coating for  their recycling bags)ColdSealPack® (self-sealing packaging)PolywovenBag (lightweight and tear-resistant pinch bottom bag) YBBS® premium board (uncoated 100% virgin fibre solution for fo	Unclassified
	
"n our continued efforts to improve performance, we undertook a number of restructuring activities during the year. In our Consumer Packaging business, we have grown our sales team and moved production to plants that better serve our customers and optimise margins."	Manufactured
"As part of the process of integrating our newly acquired bags business in the US, we announced various restructuring activities, including the closure of a plant in New Philadelphia. We also announced the closure of one of our two speciality kraft paper machines in Finland, in addition to restructuring activities in the Extrusion Coatings segment of our Fibre Packaging business unit."	Manufactured
"Risk managementRisk management is an inherent part of any business and identifying and managing the risks specific to Mondi is critical to our long-term success. Our proactive risk management system is embedded in the way we operate, allowing us to identify, evaluate and respond to the ever changing business environment. Our risk management framework, most significant risks and our responses to those risks are set out on pages 30 to 33. We maintain a deliberate investment strategy to limit regional and country specific risks to limits considered acceptable to our Boards"	Unclassified
"Safeguarding our sustainable futureWe view sustainable development as integral to the success of our business. We engage proactively on global issues and their local consequences, and we are seeing increased collaboration as we integrate sustainable development, both internally and with our customers and other stakeholders."	Social_Relationship
"In 2010, we undertook a detailed materiality assessment and identified six material issues to guide our sustainable development to 2015: • Securing access to sustainable fibre in the short, medium and long term• Maintaining our licence to trade by making a real and lasting contribution to the communities in which we operate"	Social_Relationship
"Understanding and minimising our contribution to climate change• Operating in a world of constrained resources and recognising concerns regarding biodiversity, forests, water and ecosystem service"	Natural
Safeguarding the wellbeing of employees and contractors and securing key talent and skills	Human
