Text	Theme
2014 highlightsA year of significant progressOur progress in 2014 demonstrates we’ve made strategic and financial progress. This momentum underpins our confidence that we will achieve our organic revenue growth and organic operating profit margin targets in 2015	Financial
"October 2013Sage One Accounts Extra launched in the UK, which broadens the appeal of Sage One to a wider range of users with the introduction of multi-currency, multi-user and multi-company capabilities.Launch of Sage One Accounts in Canada"	Unclassified
"Steve Hare announced as Sage’s new Chief Financial Officer, bringing significant financial and operating experience from his time at Apax Partners and Invensys plc."	Human
"Announcement of our launch plans for Sage ERP X3 Online, our global cloud solution for mid-market businesses who want to move their infrastructure to the cloud.Stephen Kelly announced as Sage’s new Chief Executive Officer, succeeding Guy Berruyer on 5 November 2014.Existing start-up and small business SaaS products incorporated into Sage One family in South Africa"	Intellectual
"Launch of Sage 100 Online in France, our hybrid cloud solution for French SMB businesses.Launch of Sage One in Switzerland"	Intellectual
"Sage Summit 2014 took place in Las Vegas, where over 5,000 customers and business partners were in attendance.€16m acquisition of Exact Lohn, a payroll business serving SMBs in Germany, is announced to the market."	Social_Relationship
Sage reports organic revenue growth for the first half of 2014 of 5%.	Financial
Launched Sage Murano Online Standard Edition and Sage Murano Payroll Online in Spain	Unclassified
	
"Commercial launch of a range of connected services in North America, including Sage Mobile Sales, Sage Mobile Service and Sage Billing and Payments. Sage Report and Sage Customer View mobile apps are also launched in France."	Intellectual
"Launch of first global brand campaign across Europe, the US, Africa and Australia, demonstrating how Sage helps people around the world to manage their business with confidence."	Social_Relationship
"Drummond Hall joined Sage’s Board of Directors as a Non-executive Director. Drummond brings extensive, broad-based marketing and corporate strategy experience from his role as Chief Executive of Dairy Crest and from time spent with Procter and Gamble, Mars and PepsiCo"	Human
"$158m acquisition of PayChoice, a provider of payroll and HR services to SMB businesses in the US, is announced to the market."	Social_Relationship
"nna Kuznetsova joined Sage’s Board of Directors as a Non-executive Director. Inna brings a wealth of sales, business development and marketing experience to Sage from her time at CEVA Logistics and IB"	Unclassified
After the year-endLaunch of Sage Contaplus Flex in Spain.Launch of Sage One in Brazil.Launch of Sage View for Accountants in North America.	Social_Relationship
	
"We remain on course to deliver the financial targets we have set for 2015, with organic revenue growth of 5% and organic operating profit margin of 27.5% reflecting continued progress towards our goals."	Financial
"othing ever stands still at Sage. We have seen another year of improved revenue growth in 2014 and have made significant progress towards our aim of delivering a step-change in both the level and sustainability of growth. We remain on course to deliver the financial targets we have set for 2015, reporting organic revenue growth of 4.9% and organic operating margin of 27.5% for the year. The acceleration of the move to subscription driving strong recurring revenue growth demonstrates the quality of this revenue growth"	Financial
We have appointed Stephen Kelly as Chief Executive Officer. We will now drive the next phase of our strategy. We are building on sound foundations	Human
"Our portfolio – modern, innovative solutions addressing the needs of our customersThe key initiatives underpinning the strategy continue to progress well. We are capturing the benefits of a more global approach: “think globally whilst delivering locally.” Sage One and Sage ERP X3, as global products, demonstrate this change. Sage One is well established as our global cloud solution for smaller businesses, differentiated in the marke"	Intellectual
"by global breadth, delivery of a truly localised customer experience and 24/7 support. At the other end of our size spectrum, Sage ERP X3 continues to prove its attractiveness as our global solution for mid-market customers."	Social_Relationship
"We continue to transform the value we offer customers by providing the benefits of online, connected and mobile experiences. Importantly, we do this through powerful technology that is non-disruptive for the customer, which supports their progressive move to the cloud. Our disciplined approach to portfolio management has seen investment prioritised to these key initiatives at the expense of legacy products. Effectively, the portfolio is self-funding the investment in growth."	Intellectual
"Purposeful innovation is a feature across our portfolio. We have built cloud solutions and brought them to market across our three segments. We are investing in mobility, with a focus on applications that bring value to all our customers across a range of user requirements. For example, for micro businesses, we have launched the Sage One mobile app, whilst with Sage ERP X3 version 7, we have a mid-market solution with mobility at its core."	Intellectual
	
Our work on modernising existing products means that on-premise customers can benefit from mobility without compromising their core solution	Intellectual
"We are also investing in remote collaboration, ensuring our customers can work efficiently with their accountants and across their businesses."	Human
"There are many commentators who wonder how well Sage can transition its business model to cope with the cloud. Quietly, and without fanfare, Sage is doing this. By putting customer needs at the heart of all we do, the Company is showing in its rapid roll-out of cloud services, and related features, its responsiveness to change. The Company also has not forgotten its installed base of customers, not all of whom want to travel on this journey at the same pace. In offering customers choice in how they deploy their software, combined with customer support which is second to none, Sage is differentiated in the market. We consider customer satisfaction is a better measure of progress than simple cloud-based contract numbers"	Social_Relationship
"Sage has built a subscription pricing capability that is making a tangible difference in the business, with more to come. Linking subscription to pricing, product and technology initiatives has proven an effective strategy to drive strong growth of Sage’s subscription base. The transition to a subscription-based model creates a more active and more valuable relationship with a customer for life. Subscription is a key driver for Sage, supporting both our customer-centric approach and our strategy for growth"	Intellectual
"A focus on shareholder returns is at the heart of the strategy. The Board believes that high-quality and sustainable long-term revenue and earnings growth, combined with a disciplined approach to capital allocation and progressive dividend policy, will drive superior returns for shareholde"	Financial
"In the past year, we have made new investment in payroll software in the United States with the acquisition of PayChoice. This acquisition strengthens Sage’s position in payroll and HR services in the US and accelerates Sage’s move to the cloud in this market. The acquisition is wholly consistent with our strategy of putting customers at the heart of what we do and provides greater service to our core customer base. We will continue, in a disciplined way, to seek such opportunities"	Manufactured
"Early in the year, Guy Berruyer indicated his desire to retire from the Company. In the 21st century, natural retirement like this will become increasingly rare, and it is to his credit that Guy has reached the end of his 17-year career with the Company happily in this manner. He has made a major contribution to the Company and has established platforms and structures that will last long after he has retired. We all wish him well in his retiremen"	Human
"Sage has only had three Chief Executives in its history and I am delighted that Stephen Kelly joins us as the fourth. He has a deep background in software success and in understanding the needs of SMEs. Whilst, of course, he will want to consider for himself Sage’s evolution, he has indicated his support for the key pillars of the Company’s strategy: increasing revenue growth through focusing our business, capturing the technology opportunity, and gaining the benefits of subscription. We welcome him to Sage"	Intellectual
"We were also joined by Inna Kuznetsova, Drummond Hall and Steve Hare on the Board during the past year. They bring valuable and different perspectives to our deliberations. Finally, on Board-related matters, Drummond Hall has succeeded Ruth Markland as Chairman of the Remuneration Committee with effect from 5 December 2014. Ruth remains as Senior Independent Non-executive Director. I am grateful for all her diligence as Chair of the Remuneration Committee"	Unclassified
"n summaryIt has been a year of further progress – strategically, operationally and financially. There is, however, no complacency, and in such rapidly changing markets we continue to need to focus our energies on shorter decision timelines, rapid deployment and strong customer focus. We can only do this successfully with excellent people and, on behalf of the Board, I would like to thank all our employees and partners for their very considerable efforts in the past year. I look forward with confidence to your Company’s response to further changing customer demands in the year ahead"	Social_Relationship
	
"Our products and servicesOur software is solving real business problems and harnessing the benefits of new technology, whilst remaining simple, efficient and a pleasure to use.However, Sage is about much more than just software"	Intellectual
"We take the lead in foreseeing the implications of changes that will impact SME businesses, particularly in relation to new legislation, and use this understanding to deliver training and support to our customers that instils them with greater confidence"	Social_Relationship
"AccountingOur accounting software gives our customers total control over their finances, invoicing and stock, and provides clear visibility over their profits, cash and financial position."	Intellectual
"HR and payrollOur HR and payroll solutions are simple, secure and efficient, helping our customers to remain compliant and pay their employees accurately and on tim"	Intellectual
"ERPOur Enterprise Resource Planning (""ERP"") solutions are designed to help customers streamline, consolidate and rationalise their business operations and processes"	Intellectual
"ur mobile applications give our customers access to their data anywhere and anytime, helping them to stay in touch with every aspect of their business"	Intellectual
CRMOur integrated CRM software helps our customers to maintain more productive relationships with their customers. This helps to drive repeat business and more effective up-selling	Intellectual
Business intelligenceOur business intelligence solutions are helping customers overcome data complexity and obtain greater insight into their business so that they can make more informed decision	Intellectual
"PaymentsOur payments businesses let our customers take payments through their websites, in person using a card reader, or directly from electronic invoices.Our focus on integrating payments into our core accounting and ERP software means these transactions are recorded automatically into our customers’ systems, saving them time and reducing the risk of erro"	Intellectual
