Text	Theme
	
	
Performance We are pleased to havedelivered another year of good performance in what remains a difficult economicenvironment for customersin the North West of England. Underpinning all we do is our vision of becoming a leading North West service provider and one of the best UK water and wastewatercompanies and we havemade progress against thisobjective on a broad front.	Unclassified
"High levels of customer satisfaction remain our core objective. We have again delivered a year of improvement as measured by our regulator, Ofwat’s, Service Incentive Mechanism (SIM). This places us as one of the most improved companies for customer satisfaction over the last three years."	Social_Relationship
"Whilst comparison with other water and sewerage companies is an important benchmark for us, werecognise that customer expectations are often set by standards of service delivered by other companies operating in the North West. So we conduct a brand tracker surveyand we are happy to find ourselves consistently ranked third out of ten leading companies, just behind the respected brands of John Lewis  and Marks & Spencer."	Social_Relationship
"Even so, we don’t always get it right, and customer satisfaction will remain an area of focus for us – reducing service failure benefits both customers and shareholders."	Social_Relationship
"Targeted investment in our people, assets and processes is delivering results and we are ahead of schedule in delivering our regulatory outperformance targets."	Unclassified
Asset serviceability has again been stable or improving over the last twelve months and we have met our leakage target for the eighth consecutive year. Water quality over the year reﬂects our best performance for many years	Manufactured
"The Environment Agency assessed us as an  upper quartile company in 2012/13, and we have made more progress over the last twelve months"	Social_Relationship
Much of our capital programme of over £3.5 billion for the period 2010–15 supports renewal and upgrade of our asset base to maintain serviceability but a significant proportion also delivers our capability to meet new environmental standards	Manufactured
"Wedelivered our largest annual capital programme for a decade, investing £836 million – £49 million more than the previous year – in areas that included contributions to river and bathing water quality and inspecting the Haweswater aqueduct for the first time since it was built in the mid 1900s"	Manufactured
"We measure the effectiveness of our investment using our Time, Cost and Quality index, TCQi, and we scored 98 per cent for the year – ahead of our targets and a significant improvement on our performance of three years ago"	Social_Relationship
"Our good performance in this five-year regulatory period, AMP5, has created the ability for us to re-invest. We are investing around £200 million of capital savings into projects which improve service to customers or benefit the environment"	Social_Relationship
Around £40 million of our financing outperformance is supporting our private sewer network and we have committed a £75 million cash tax refund from HMRC to assist customers struggling to return to regular payment. We believe that this reﬂects a responsible approach to sharing the benefits of outperformance between customers and shareholders.	Social_Relationship
"The North West remains a region with the highest proportion of disadvantaged households in England and reducing customer indebtedness continues to be a major challenge for us. Our collection teams have worked hard in another difficult year to hold bad debt levels at 2.2 per cent of revenue, with over 30,000 customers taking advantage of our many assistance schemes. Containing bad debt at this level will remain a challenge as benefit reforms continue to roll out across our region."	Social_Relationship
Our good performance in this five-year regulatory period hascreated the ability forus to reinvest.”	Unclassified
"We were ranked3rd out of 10 leading NorthWest service providers, behind only John Lewis and Marks & Spencer"	Unclassified
	
We are grasping the opportunities presented by reform of water regulation. W	Social_Relationship
"welcome the opening of the competitive business retail market for water and United Utilities Scotland has rapidly secured a profitable position as the largest new-entrant business retailer in Scotland, second only to the incumbent, Business Stream"	Financial
"The lessons learned in Scotland will be applied in the English market, delivering better customer service in the run-up to market opening in 2017 and beyond. In mid 2013 welaunched a range of on-site water and wastewater services to add value to non-household customers in our region"	Social_Relationship
"Strategy During the last year, we updated our Strategic Direction Statement, ‘Playing our part to support the North West’, and this document reﬂects extensive consultation with customers and other stakeholders to generate our best view of what the next 25 years holds for the region. This includes economic, social and environmental developments such as the increasing impact of climate change"	Social_Relationship
