Text	Theme
"We’ve come a long way since making the first ever mobile call in the UK on 1 January 1985. In 30 years, a small mobile operator in Newbury has grown into a global business and one of the most valuable telecoms brands in the world. We now have mobile operations in 27 countries and partner with mobile networks in 48 more. Today, we have 434 million mobile customers around the world. And because we now do more than just mobile, we’re able to provide fixed broadband services in 17 markets, and 9 million customers use us for their fixed broadband needs"	Social_Relationship
"Our core purpose is to empower our customers to be confidently connected – whether at home, during the daily commute, in the office, or abroad – wherever and however they choose. We want everyone to be confidently connected to their friends, families, and customers, and to always have access to the content and information they choose."	Social_Relationship
"We’re aiming to differentiate ourselves from our competitors, by having the best network, providing the best customer experience and having the best integrated worry-free solutions."	Intellectual
"While we expect these actions to improve our business performance over time, we recognise that financial results alone are not enough. A commitment to improve our social impact and behave ethically and responsibly at all times is integral to ensuring the long-term sustainability of our businesses"	Social_Relationship
"Our business is constantly evolving to adapt to changes in customer behaviour, technology, regulation and the competitive landscape. Our strategy is our response to these changes, while ensuring we operate in a responsible way."	Social_Relationship
"As you’ll see in this year’s report, we are making great strides towards our strategic goals, as we begin to realise our vision of empowering everybody to be confidently connected…"	Unclassified
"This year’s report contains a new strategic report on pages  1 to 47, which includes an analysis of our performance and position, a review of the business during the year, and outlines the principal risks and uncertainties we face. The strategic report was approved by the Board and signed on its behalf by the Chief Executive  and Chief Financial Officer"	Unclassified
	
C	Financial
"Three pillars of successThree distinct elements sum up why Vodafone has had such a strong track record of shareholder value creation over recent years. First, in response to the increasing demand for data we have formulated a clear strategy of becoming a leading unified communications provider and to strengthen further our network and service differentiation, through investments in mobile and fixed capabilities."	Intellectual
"Second, we have made significant progress in executing our strategy. We have actively managed our portfolio, particularly disposing of our non-controlling interests, and used part of the proceeds to accelerate the roll-out of 3G and 4G mobile capability and the deployment of next-generation fixed line operations in a number of key markets. To accelerate our strategy further we acquired Kabel Deutschland in Germany and agreed the purchase of Ono in Spain – two leading cable companies in their respective markets"	Intellectual
"Finally, we have extended our very strong track record of balancing the long-term needs of the business with significant returns to shareholders. We ended the year in a strong financial position and with a clear strategy for long-term growth"	Financial
Our role in society and protection of customer dataTelecommunications technology has a significant positive impact on economic development and individual wellbeing. We remain committed to enhancing the positive social impact of mobile – our networks and services are used to address everything from illiteracy to supporting the local healthcare infrastructure and realising the potential of budding entrepreneurs.	Social_Relationship
"Our technology helps people to connect and share information. In this context data protection is critical. However, this year there have been a number of troubling allegations about the activities of security agencies in accessing customer data. As a trusted communications service provider, we view our customers’ privacy as absolutely key"	Social_Relationship
"As a demonstration of our commitment to transparency in this regard, our latest sustainability report includes a section on law enforcement disclosure. This explains the nature and extent of government powers to order our assistance, together with information about agency and authority demands in countries where statistical data can lawfully be disclosed."	Social_Relationship
"We are dependent on government policies and regulatory frameworks. While this applies to all our operations, it is critical for the development of a globally competitive and healthy telecom industry in Europe."	Social_Relationship
"Europe needs to find the right balance between protecting consumer interests and the consumer’s long-term interest in investment in next-generation telecom infrastructure and innovation, that will enable future growth and prosperity for its citizens. So far that balance in our opinion has not been found in the proposals for reform of the digital single market currently under consideration in Brussels"	Unclassified
"Alignment with shareholdersOur remuneration policies continue to ensure that management is strongly aligned with shareholders, with a focus on rewarding long-term value creation. After the return of value arising from the sale of our Verizon Wireless stake, Vittorio, and other members of the Executive Committee reinvested a significant proportion of their net proceeds back into Vodafone shares to demonstrate their commitment to the business and the strength of that alignment."	Financial
"The Board continues to consider the ordinary dividend to be the core element of shareholder returns, and believes in a consistent dividend policy. This year we raised the dividend per share by 8%, and as a reflection of our confidence in our future performance, we intend to raise it annually hereafter."	Unclassified
